timestamp,agent_id,chunk_index,bytes,gap_ms,parse_ms
14050.0539074,collector,97,110,24.4477,0.0203
14050.0659427,insight,98,106,27.4727,0.0175
14050.0806958,collector,98,98,26.7884,0.0457
14050.0877637,insight,99,100,21.8210,0.0173
14050.1061013,collector,99,98,25.4055,0.0184
14050.1129027,insight,100,103,25.1390,0.0194
14050.1329378,collector,100,107,26.8365,0.0339
14050.1388421,insight,101,107,25.9394,0.0262
14050.1558113,collector,101,106,22.8735,0.0291
14050.16397,insight,102,103,25.1279,0.0174
14050.1823288,collector,102,99,26.5175,0.0259
14050.1893959,insight,103,104,25.4259,0.0115
14050.2076367,collector,103,101,25.3079,0.0283
14050.2155099,insight,104,98,26.1140,0.0193
14050.2339344,collector,104,99,26.2977,0.0276
14050.2418052,insight,105,105,26.2953,0.0193
14050.2603181,collector,105,98,26.3837,0.0170
14050.2699971,insight,106,98,28.1919,0.0297
14050.2820731,collector,106,98,21.7550,0.0159
14050.2949411,insight,107,101,24.9440,0.0150
14050.3098575,collector,107,102,27.7844,0.0276
14050.3178713,insight,108,100,22.9302,0.0278
14050.334913,collector,108,104,25.0555,0.0310
14050.3429636,insight,109,100,25.0923,0.0182
14050.360059,collector,109,104,25.1460,0.0173
14050.3670357,insight,110,98,24.0721,0.0244
14050.3827748,collector,110,101,22.7158,0.0201
14050.393097,insight,111,103,26.0613,0.0354
14050.408795,collector,111,103,26.0202,0.0277
14050.4158159,insight,112,99,22.7189,0.0333
14050.4360862,collector,112,100,27.2912,0.0192
14050.4426503,insight,113,101,26.8344,0.0401
14050.459905,collector,113,101,23.8188,0.0189
14050.4684187,insight,114,106,25.7684,0.0476
14050.4850499,collector,114,98,25.1449,0.0198
14050.4951204,insight,115,107,26.7017,0.0242
14050.5129413,collector,115,100,27.8914,0.0258
14050.5198926,insight,116,100,24.7722,0.0226
14050.5401526,collector,116,99,27.2113,0.0220
14050.5470612,insight,117,107,27.1686,0.0217
14050.5648624,collector,117,104,24.7098,0.0172
14050.5754338,insight,118,100,28.3726,0.0328
14050.5937875,collector,118,103,28.9251,0.0198
14050.6030001,insight,119,98,27.5663,0.0391
14050.6167395,collector,119,99,22.9520,0.0463
14050.6282569,insight,120,98,25.2568,0.0320
14050.642922,collector,120,99,26.1825,0.0436
14050.6536272,insight,121,97,25.3703,0.0660
14050.6690347,collector,121,99,26.1127,0.0325
14050.6788188,insight,122,98,25.1916,0.0294
14050.6926267,collector,122,99,23.5920,0.0145
14050.7060621,insight,123,98,27.2433,0.0198
14050.7165606,collector,123,98,23.9339,0.0354
14050.7328682,insight,124,98,26.8061,0.0179
14050.7450948,collector,124,98,28.5342,0.0490
14050.7583815,insight,125,107,25.5133,0.0393
14050.7709179,collector,125,102,25.8231,0.0206
14050.7859915,insight,126,99,27.6100,0.0224
14050.797237,collector,126,98,26.3191,0.0196
14050.8094085,insight,127,102,23.4170,0.0144
14050.8236503,collector,127,104,26.4133,0.0182
14050.8354307,insight,128,101,26.0222,0.0168
14050.8475415,collector,128,106,23.8912,0.0163
14050.8605676,insight,129,109,25.1369,0.0171
14050.8725528,collector,129,98,25.0113,0.0149
14050.8870512,insight,130,100,26.4836,0.0196
14050.9000653,collector,130,98,27.5125,0.0336
14050.9140695,insight,131,106,27.0183,0.0340
14050.9243243,collector,131,98,24.2590,0.0194
14050.9422711,insight,132,105,28.2016,0.0521
14050.9483469,collector,132,98,24.0226,0.0163
14050.9681231,insight,133,101,25.8520,0.0173
14050.9727102,collector,133,98,24.3633,0.0465
14050.9943443,insight,134,105,26.2212,0.0467
14051.0023847,collector,134,98,29.6745,0.0159
14051.0207533,insight,135,105,26.4090,0.0193
14051.0273065,collector,135,98,24.9218,0.0162
14051.0478499,insight,136,98,27.0966,0.0169
14051.0524347,collector,136,98,25.1282,0.0200
14051.072642,insight,137,105,24.7921,0.0200
14051.0794582,collector,137,98,27.0235,0.0327
14051.0967854,insight,138,98,24.1434,0.0303
14051.1058026,collector,138,98,26.3444,0.0236
14051.1203033,insight,139,100,23.5179,0.0207
14051.1326465,collector,139,98,26.8439,0.0199
14051.1484399,insight,140,98,28.1366,0.0444
14051.1597382,collector,140,98,27.0917,0.0347
