latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,error,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
420.1530390018888,128,304.65089650208284,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
419.42988699884154,128,305.17615450792505,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
425.24781600150163,128,301.0009579909236,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
442.04249800168327,128,289.56491870949606,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
425.03011600274476,128,301.1551303794515,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
432.24861999988207,128,296.1258731144935,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
432.31222100075684,128,296.08230760558564,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
419.999433997873,128,304.7623154669495,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
434.3073599993659,128,294.72215253314357,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
418.9428469981067,128,305.5309355850596,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
423.1110790024104,128,302.5210313608233,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
422.6267949998146,128,302.8676873174976,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
426.38345700106584,128,300.1992640621609,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
428.43389499830664,128,298.762543053476,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
426.80678500255453,128,299.90151163888805,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
433.975506999559,128,294.9475210824054,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
428.14675100089516,128,298.96291330196823,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
426.10282600071514,128,300.39697507142364,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
430.4237619980995,128,297.3813513589549,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
421.6613300013705,128,303.5611541603399,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
435.5974489990331,128,293.8492874421864,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
427.36494400014635,128,299.5098259625997,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
425.92805700041936,128,300.5202355098058,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
422.3777209990658,128,303.0462868572633,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
420.12217799856444,128,304.67327530715926,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
423.6115729981975,128,302.1636049602088,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
418.62016700179083,128,305.76644435635234,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
444.3547880000551,128,288.0581090981383,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
428.1969019975804,128,298.92789836373754,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
426.4849060018605,128,300.12785493384285,ok,single_long,long,transformers-gpu,models/gpt2-100m,fp32,,,,
0.0,0,0.0,error,single_long,long,transformers-gpu-compile,models/gpt2-100m,fp32,,,,
427.5171160006721,128,299.40321734346367,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
419.9682580001536,128,304.78493924641606,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
421.4043389983999,128,303.74627917745767,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
419.64503100098227,128,305.0196965151254,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
430.903305998072,128,297.0504013737428,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
423.11901899665827,128,302.51535443508607,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
420.46634500002256,128,304.4238891462125,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
436.35225999969407,128,293.34098097736387,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
482.99612200207775,128,265.0124797470928,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
431.6681759992207,128,296.5240597218153,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
443.0327539994323,128,288.9176902711893,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
423.288259000401,128,302.39440210856105,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
430.86799700176925,128,297.07474421562665,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
434.6866970008705,128,294.4649580563163,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
428.878987000644,128,298.4524863182626,ok,stress_single,stress,transformers-gpu,models/gpt2-100m,fp32,,,,
0.0,0,0.0,error,stress_single,stress,transformers-gpu-compile,models/gpt2-100m,fp32,,,,
1963.2645480014617,128,65.19753037373377,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1969.2994750002981,128,64.99773225196266,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1952.6533680000284,128,65.55182916622923,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2000.991379001789,128,63.96829158946894,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
1960.2084789985383,128,65.29917678215259,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2184.561162997852,128,58.59300355973867,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2042.96001900002,128,62.654187458182825,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2011.2973979994422,128,63.64051389283183,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2062.7377630007686,128,62.0534525987404,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2016.697307000868,128,63.47011004361147,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2027.9808759987645,128,63.116966000461424,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
2091.5059609978925,128,61.19992119885188,ok,single_micro,micro,transformers-gpu,models/qwen2.5-0.5b,fp16,,,,
