scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error
stress_single,stress,transformers-gpu-compile,models/gpt2-50m:fp32,fp32,230.05514800024685,219.87405395507812,230.05514800024685,64,278.19416586118444,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,206.9942819998687,197.76512145996094,206.9942819998687,64,309.18728470016674,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,199.76274100008595,190.87974548339844,199.76274100008595,64,320.3800652693911,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,204.4361629996274,195.3648681640625,204.4361629996274,64,313.05615924769944,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.75837200006208,193.73464965820312,202.75837200006208,64,315.6466456535783,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.4470480000673,193.43359375,202.4470480000673,64,316.1320485146255,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.63387100021646,193.62509155273438,202.63387100021646,64,315.84058323562124,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,199.02116799949,190.15577697753906,199.02116799949,64,321.5738337952273,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,199.2149599991535,190.34828186035156,199.2149599991535,64,321.2610137324624,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.5574940007573,193.5308837890625,202.5574940007573,64,315.9596751318454,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,204.58623800004716,195.48057556152344,204.58623800004716,64,312.8265157306683,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,207.48450000064622,198.23216247558594,207.48450000064622,64,308.4567762883525,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,222.44549200058827,212.5465545654297,222.44549200058827,64,287.7109327971041,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,204.32094499938103,195.22866821289062,204.32094499938103,64,313.232693790614,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,203.08262500020646,194.02137756347656,203.08262500020646,64,315.142666685222,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,206.180391000089,197.0001983642578,206.180391000089,64,310.4077923684429,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.35262799997145,193.33016967773438,202.35262799997145,64,316.2795592652695,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.22142999955395,193.2165069580078,202.22142999955395,64,316.48475633933145,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.07292499981122,193.06495666503906,202.07292499981122,64,316.717343503885,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,203.80287900024996,194.73919677734375,203.80287900024996,64,314.02892988534035,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,200.49818099960248,191.56991577148438,200.49818099960248,64,319.20489094176315,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.11529699918174,193.10488891601562,202.11529699918174,64,316.6509460204742,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,203.2130910001797,194.16677856445312,203.2130910001797,64,314.9403401375525,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,200.8981919998405,191.9498291015625,200.8981919998405,64,318.5693179361754,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,205.6450230002156,196.4912567138672,205.6450230002156,64,311.2158955577199,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,203.86056000006647,194.78323364257812,203.86056000006647,64,313.94007747246025,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,207.0748639998783,197.865478515625,207.0748639998783,64,309.0669662351565,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,206.4741000003778,197.2991943359375,206.4741000003778,64,309.9662378956145,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,208.9391629997408,199.64825439453125,208.9391629997408,64,306.3092580689595,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,205.4964539993307,196.34381103515625,205.4964539993307,64,311.44089717581426,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,208.84722099981445,199.5335693359375,208.84722099981445,64,306.44410633578343,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,211.11038100025326,201.69833374023438,211.11038100025326,64,303.15894318774986,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,207.36894499987102,198.1439971923828,207.36894499987102,64,308.62866182802736,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,206.755260999671,197.55421447753906,206.755260999671,64,309.54472302449335,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,205.31803999983822,196.20326232910156,205.31803999983822,64,311.71152812510013,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,210.31397499973536,200.94566345214844,210.31397499973536,64,304.30692967540807,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,206.73519399952056,197.54188537597656,206.73519399952056,64,309.57476935518014,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,208.88485700015735,199.59811401367188,208.88485700015735,64,306.38889251771747,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,204.57822199932707,195.48463439941406,204.57822199932707,64,312.8387732307622,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,203.74859900039155,194.68492126464844,203.74859900039155,64,314.1125893085381,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,206.9755129996338,197.7743377685547,206.9755129996338,64,309.2153224913772,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,207.49684299971705,198.26380920410156,207.49684299971705,64,308.4384276636309,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,210.29518700015615,200.9415740966797,210.29518700015615,64,304.3341167858135,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.93767900056991,193.90567016601562,202.93767900056991,64,315.3677538601408,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,204.5916010001747,195.51625061035156,204.5916010001747,64,312.81831554730024,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,203.30693800042354,194.25791931152344,203.30693800042354,64,314.7949628746397,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,203.04605799992714,194.01113891601562,203.04605799992714,64,315.1994214042952,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,201.50233900039893,192.53964233398438,201.50233900039893,64,317.6141791578573,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.30542500030424,193.30355834960938,202.30542500030424,64,316.35335532847796,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,204.1706210002303,195.07302856445312,204.1706210002303,64,313.46331654605586,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,204.65247799984354,195.54098510742188,204.65247799984354,64,312.72526297017976,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.593538999281,193.2216339111328,202.593538999281,64,315.90346027879565,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,204.35466800063296,195.26348876953125,204.35466800063296,64,313.1810035276599,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.9429820004225,193.91180419921875,202.9429820004225,64,315.35951314575027,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,206.21829500032618,197.0524139404297,206.21829500032618,64,310.3507377941359,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,207.74658499976795,198.51673889160156,207.74658499976795,64,308.06763923494333,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,206.96851100001368,197.7559051513672,206.96851100001368,64,309.2257836265526,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.8431240005375,193.81759643554688,202.8431240005375,64,315.5147620376346,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,202.3155040005804,193.2769317626953,202.3155040005804,64,316.33759516431525,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,201.74815999962448,192.76902770996094,201.74815999962448,64,317.22718065988374,ok,
single_micro,micro,transformers-gpu,models/gpt2-100m:fp32,fp32,201.24028500049462,192.28775024414062,201.24028500049462,64,318.02777460707085,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,211.0620020002898,201.670654296875,211.0620020002898,64,303.22843237274003,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,208.4580000000642,199.20486450195312,208.4580000000642,64,307.01628145708145,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,215.6795669998246,206.08511352539062,215.6795669998246,64,296.73650077409536,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.49370299967995,200.18585205078125,209.49370299967995,64,305.49844259566015,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.2504709999048,199.942138671875,209.2504709999048,64,305.8535528936951,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,207.35819800029276,198.11328125,207.35819800029276,64,308.64465749219926,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.24410699990403,199.9052734375,209.24410699990403,64,305.8628551963442,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,210.40183399964008,201.03884887695312,210.40183399964008,64,304.1798580525181,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,208.1643580004311,198.91506958007812,208.1643580004311,64,307.44936652348264,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.4491170000765,200.14285278320312,209.4491170000765,64,305.5634748747908,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.97861300020304,200.6497344970703,209.97861300020304,64,304.7929457460418,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,206.93774800020037,197.73341369628906,206.93774800020037,64,309.2717525849273,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,211.52652700038743,202.12530517578125,211.52652700038743,64,302.56252446239415,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.93955799985997,200.58726501464844,209.93955799985997,64,304.84964629697225,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.7409570005766,200.42239379882812,209.7409570005766,64,305.13830448396425,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,207.58456400017167,198.35696411132812,207.58456400017167,64,308.3080878785721,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,208.1652890001351,198.94374084472656,208.1652890001351,64,307.4479914850668,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,208.22103699993022,198.98265075683594,208.22103699993022,64,307.365676984989,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.31659100006073,200.01280212402344,209.31659100006073,64,305.7569383020452,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,206.76712400018005,197.56748962402344,206.76712400018005,64,309.5269632900841,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,207.7048310002283,198.50547790527344,207.7048310002283,64,308.12956873366926,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,210.15211599933536,200.8125457763672,210.15211599933536,64,304.5413066419108,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,208.8344429994322,199.546875,208.8344429994322,64,306.46285680075295,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,209.6878279999146,200.3671112060547,209.6878279999146,64,305.21561795196845,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,206.31628899991483,197.1394500732422,206.31628899991483,64,310.203330576707,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,206.3972770001783,197.21728515625,206.3972770001783,64,310.0816102333788,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,208.44815999953425,199.193603515625,208.44815999953425,64,307.0307744627873,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,210.14998000009655,200.8115234375,210.14998000009655,64,304.5444020502433,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,213.07730599983188,203.6326446533203,213.07730599983188,64,300.36047104918106,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,238.71106800015696,228.08370971679688,238.71106800015696,64,268.1065462786079,ok,
single_micro,micro,transformers-gpu-compile,models/gpt2-100m:fp32,fp32,237.43602800004737,226.8916778564453,237.43602800004737,64,269.5462880636936,ok,
