backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-gpu,single_micro,5,5,0,0.0,261.51096248305015,292.18702051719856,7.645220000449626,3.417200000512821,17.58593333349078,4.054733333153611,44.60443000007217,27.379950000067765,38.47050778557433,26.96239999932004,113.41855000046053,27.187500000763976,28.073749999748543,-3.1630145098931735,92.37187451003751,5
onnxruntime-gpu,single_short,5,5,0,0.0,271.6998210115538,269.79994533159106,3.6941400001524016,3.6827500007348135,4.051860000132971,4.04296666662655,29.452419999324775,29.652349999196304,0.5162509230840234,28.541699999550474,29.82154999881459,29.59119999923132,29.655299999831186,28.81140981409188,30.09343018455767,5
tensorrt-fp16,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp32,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_long,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_micro,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-int8,single_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
transformers-gpu-compile,batch_medium,5,5,0,0.0,234.57326154454503,238.0639009114842,16.62756999994599,15.756949999740755,128.5142733332274,15.311033334000967,138.16056000014214,134.5762000000832,16.60968946718929,120.88814999970054,161.57620000103634,125.90894999993907,147.85329999995156,117.5369065673889,158.7842134328954,5
transformers-gpu-compile,batch_short,5,5,0,0.0,247.3527102470714,253.58796370379352,15.41153000034683,15.48235000063869,122.07523333321055,16.727566666910814,129.89137999993545,126.29814999945665,7.086789367474455,124.02470000051835,141.07359999979963,125.35354999999981,132.70689999990282,121.09196877948918,138.69079122038173,5
transformers-gpu-compile,single_long,5,5,0,0.0,68.9900029676669,70.56027615137491,14.192589999947813,13.68825000099605,132.12514000006198,14.11783333363322,116.88374999994267,113.37854999965202,9.788235180665911,108.41965000054188,133.74469999962457,113.20199999954639,115.67385000034847,104.73005077015826,129.03744922972706,5
transformers-gpu-compile,single_medium,5,5,0,0.0,70.35992865068599,71.62836997149552,13.89138999984425,13.74995000060153,132.89735333346468,13.76430000042698,114.43191999969713,111.69764999976906,7.957898277272038,107.40900000018883,126.9611999996414,108.8215499994476,117.27019999943877,104.55088420744066,124.3129557919536,5
transformers-gpu-compile,single_micro,5,5,0,0.0,168.22435648625154,169.0252253171583,5.817839999690477,5.792400000245834,182.42150666652987,5.970133333297174,47.566769999684766,47.33924999891315,0.5584639648834705,46.98819999885018,48.41800000031071,47.28400000021793,47.804400000131864,46.87334540019483,48.2601945991747,5
transformers-gpu-compile,single_short,5,5,0,0.0,71.2155003764582,72.67169729378355,13.79462999993848,13.82240000020829,130.9879999998278,13.76939999984946,113.2253199999468,110.09930000000168,8.090162194314107,104.46494999996503,123.13855000047624,108.08539999925415,120.33840000003693,103.18005686363779,123.27058313625582,5
