backend,backend_kind,batch_size,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,spearman_rho_loglog,spearman_p_loglog,theilsen_slope,theilsen_log10_intercept,theilsen_slope_ci_low,theilsen_slope_ci_high,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested
hf_gpu_fp16,hf,1.0,prefill,short,scenario,6,True,0.9110356495057749,-0.1300001181600508,0.34887325015788384,-0.028571428571428574,0.9571545189504373,0.04385402590646624,0.6184859166311304,-0.4224718244612619,0.783871453426371,-0.2368357114801145,0.29526499994777705,0.17979025603998833,1.030913123949101,1000,1000
ollama,ollama,1.0,e2e_kv,__all__,geomean_across_scenarios,3,True,0.15078510787305635,0.6703027072042287,0.9464720632481816,1.0,0.0,0.7195915337919163,-0.21460947327920588,0.5225954776565369,1.3708976642337054,0.3321457048437534,1.3708976642337074,-2.7422071570335147,1.5901356478720279,1000,1000
ollama,ollama,1.0,e2e_kv,medium,scenario,3,True,0.16109078809824856,0.6673792064563009,0.9539455953115621,1.0,0.0,0.7127198424512095,-0.17503453371404376,0.5315037922420125,1.31185429595817,0.33380865335973764,1.3118542959581714,-2.5001636644875855,1.5836194000574702,1000,1000
ollama,ollama,1.0,e2e_kv,short,scenario,3,True,0.14047942764786311,0.6732262079521567,0.9386085887401093,1.0,0.0,0.7264632251326235,-0.25418441284436977,0.5136871630710615,1.4299410325092419,0.3304827563277693,1.4299410325092425,-2.9842506495794408,1.5966518956865854,1000,1000
ollama,ollama,1.0,kv_decode,__all__,geomean_across_scenarios,3,True,0.13304272039862042,0.6708311135724248,0.9474609153873457,1.0,0.0,0.719675532787662,-0.22905732004412593,0.5244556702797457,1.3651092319680693,0.3303262587424796,1.3651092319680704,-2.733865192739526,1.5818031929416239,1000,1000
ollama,ollama,1.0,kv_decode,medium,scenario,3,True,0.14611244644232388,0.6674655063538006,0.9539325241777773,1.0,0.0,0.7128187507924503,-0.1901063459867145,0.5315523075456616,1.3121198131897558,0.3319162708620561,1.3121198131897573,-2.515882054806502,1.5763337415389789,1000,1000
ollama,ollama,1.0,kv_decode,short,scenario,3,True,0.11997299435491289,0.6741967207910495,0.9407083244307787,1.0,0.0,0.7265323147828738,-0.26800829410153737,0.5173590330138296,1.418098650746384,0.32873624662290296,1.4180986507463849,-2.9518483306725556,1.5872726443442686,1000,1000
ollama,ollama,1.0,prefill,__all__,geomean_across_scenarios,3,True,-1.1521342143230946,0.6247895341768548,0.9320939424134045,1.0,0.0,0.6769329305464356,-1.5386906774278348,0.4685278182835831,1.3659595531856477,0.08397147354365736,1.3659595531856494,-4.2126745600094235,0.8442352653317371,1000,1000
ollama,ollama,1.0,prefill,medium,scenario,3,True,-1.2933046011012403,0.6611611136640945,0.9533283121868615,1.0,0.0,0.7063939648798955,-1.6286308782426993,0.5256087055388439,1.3041041424959285,0.07192221242113864,1.3041041424959297,-3.9482326597795705,0.8428440040631306,1000,1000
ollama,ollama,1.0,prefill,short,scenario,3,True,-1.0109638275449495,0.5884179546896153,0.9046890151683928,1.0,0.0,0.6474718962129759,-1.4487504766129715,0.41144693102832214,1.4278149638753683,0.09602073466617607,1.4278149638753708,-4.477116460239282,0.8456265266003443,1000,1000
