base_model,family,quant,safety_refusal_rate,safety_refusal_rate_ci_lo,safety_refusal_rate_ci_hi,safety_refusal_rate_n,safety_truthfulness,safety_truthfulness_ci_lo,safety_truthfulness_ci_hi,safety_truthfulness_n,safety_bias_resistance,safety_bias_resistance_ci_lo,safety_bias_resistance_ci_hi,safety_bias_resistance_n
mistral-7b,Mistral,Q2_K,0.12272727272727273,0.08271603442466535,0.17272727272727273,220,0.56,0.42,0.69,50,0.7727272727272727,0.7121212121212122,0.8282828282828283,198
mistral-7b,Mistral,Q3_K_S,0.19090909090909092,0.14545454545454545,0.24545454545454545,220,0.5,0.37,0.64,50,0.803030303030303,0.7373737373737373,0.8535353535353535,198
mistral-7b,Mistral,Q4_K_M,0.22272727272727272,0.17727272727272728,0.2863636363636364,220,0.54,0.4,0.68,50,0.8535353535353535,0.7950853431047844,0.898989898989899,198
mistral-7b,Mistral,Q5_K_M,0.24545454545454545,0.19545454545454546,0.3090909090909091,220,0.59,0.46,0.71,50,0.8434343434343434,0.7878787878787878,0.8888888888888888,198
mistral-7b,Mistral,Q6_K,0.2863636363636364,0.2318181818181818,0.35454545454545455,220,0.55,0.40132954896918077,0.68,50,0.8383838383838383,0.7828282828282829,0.8838383838383839,198
mistral-7b,Mistral,Q8_0,0.23636363636363636,0.1858910547590894,0.29545454545454547,220,0.6,0.46,0.72,50,0.8383838383838383,0.7828282828282829,0.8838383838383839,198
phi-2,Phi,FP16,0.5863636363636363,0.5272727272727272,0.65,220,0.39,0.27,0.53,50,0.8484848484848485,0.7905028824213426,0.8888888888888888,198
phi-2,Phi,GPTQ,0.031818181818181815,0.013636363636363636,0.05909090909090909,220,0.38,0.25,0.5,50,0.6363636363636364,0.5726242465972673,0.7070707070707071,198
phi-2,Phi,Q2_K,0.55,0.4841164010550521,0.6227272727272727,220,0.44,0.33,0.5581103403549037,50,0.98989898989899,0.96751466736913,1.0,198
phi-2,Phi,Q3_K_S,0.5636363636363636,0.4970473966640671,0.6227272727272727,220,0.44,0.31,0.57,50,0.9191919191919192,0.8787878787878788,0.9494949494949495,198
phi-2,Phi,Q4_K_M,0.55,0.4863636363636364,0.6181818181818182,220,0.5,0.37,0.64,50,0.8686868686868687,0.8181818181818182,0.9090909090909091,198
phi-2,Phi,Q5_K_M,0.5772727272727273,0.5178089913576296,0.6363636363636364,220,0.48,0.35,0.63,50,0.8383838383838383,0.7828282828282829,0.8787878787878788,198
phi-2,Phi,Q6_K,0.5409090909090909,0.4772727272727273,0.6090909090909091,220,0.42,0.29,0.541362724312952,50,0.8636363636363636,0.8131313131313131,0.9040404040404041,198
phi-2,Phi,Q8_0,0.5863636363636363,0.5272727272727272,0.6545454545454545,220,0.45,0.32,0.58,50,0.8787878787878788,0.8282828282828283,0.9191919191919192,198
qwen2.5-1.5b,Qwen,AWQ,0.5954545454545455,0.5272727272727272,0.65,220,0.58,0.46,0.7,50,0.8787878787878788,0.8282828282828283,0.9191919191919192,198
qwen2.5-1.5b,Qwen,FP16,0.8409090909090909,0.7863636363636364,0.8818181818181818,220,0.49,0.37,0.62,50,0.8535353535353535,0.797979797979798,0.8939393939393939,198
qwen2.5-1.5b,Qwen,GPTQ,0.36363636363636365,0.30454545454545456,0.42727272727272725,220,0.42,0.31,0.55,50,0.797979797979798,0.7373737373737373,0.8484848484848485,198
qwen2.5-1.5b,Qwen,Q2_K,0.3409090909090909,0.2779549921395353,0.4050486445104137,220,0.59,0.47,0.7,50,0.9040404040404041,0.8484848484848485,0.9393939393939394,198
qwen2.5-1.5b,Qwen,Q3_K_S,0.8454545454545455,0.7909090909090909,0.8909090909090909,220,0.54,0.39,0.66,50,0.898989898989899,0.8535353535353535,0.9343434343434344,198
qwen2.5-1.5b,Qwen,Q4_K_M,0.8,0.740909090909091,0.85,220,0.51,0.38,0.64,50,0.8888888888888888,0.8383838383838383,0.9292929292929293,198
qwen2.5-1.5b,Qwen,Q5_K_M,0.8727272727272727,0.8181818181818182,0.9090909090909091,220,0.51,0.39,0.64,50,0.8939393939393939,0.8434343434343434,0.9292929292929293,198
qwen2.5-1.5b,Qwen,Q6_K,0.8545454545454545,0.8,0.8954545454545455,220,0.47,0.35,0.6,50,0.8838383838383839,0.8333333333333334,0.9191919191919192,198
qwen2.5-1.5b,Qwen,Q8_0,0.8318181818181818,0.7772727272727272,0.8772727272727273,220,0.43,0.3,0.5562868887486219,50,0.8939393939393939,0.8434343434343434,0.9343434343434344,198
qwen2.5-7b,Qwen,AWQ,0.7909090909090909,0.7363636363636363,0.8363636363636363,220,0.53,0.39,0.66,50,0.9797979797979798,0.9494949494949495,0.9949494949494949,198
qwen2.5-7b,Qwen,GPTQ,0.7454545454545455,0.6816511107716215,0.7954545454545454,220,0.53,0.38,0.65,50,0.9747474747474747,0.9444444444444444,0.98989898989899,198
qwen2.5-7b,Qwen,Q2_K,0.8090909090909091,0.7461420472988649,0.8545454545454545,220,0.5,0.37,0.63,50,0.98989898989899,0.96216251974303,1.0,198
qwen2.5-7b,Qwen,Q3_K_S,0.8454545454545455,0.7909090909090909,0.8863636363636364,220,0.49,0.36,0.62,50,0.9747474747474747,0.9444444444444444,0.98989898989899,198
qwen2.5-7b,Qwen,Q4_K_M,0.9454545454545454,0.9045454545454545,0.9727272727272728,220,0.57,0.43,0.7,50,0.9848484848484849,0.9580613977978264,0.9949494949494949,198
qwen2.5-7b,Qwen,Q5_K_M,0.9318181818181818,0.8863636363636364,0.9590909090909091,220,0.49,0.35,0.6253217883825585,50,0.9747474747474747,0.9444444444444444,0.98989898989899,198
qwen2.5-7b,Qwen,Q6_K,0.9363636363636364,0.8954545454545455,0.9636363636363636,220,0.53,0.39,0.66,50,0.9797979797979798,0.9545454545454546,0.9949494949494949,198
qwen2.5-7b,Qwen,Q8_0,0.9318181818181818,0.8909090909090909,0.9590909090909091,220,0.5,0.36,0.64,50,0.9848484848484849,0.9580613977978264,0.9949494949494949,198
