latency_ms,tokens,tokens_per_s,status,scenario,prompt_set,backend,model,quantization,wall_ms,ollama_eval_ms,ollama_prompt_eval_ms
3.8527380020241253,11,2855.1123887014624,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.8454810019175056,9,2340.40943005888,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.891489999659825,11,2826.680783186277,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.8252770027611405,9,2352.7707911096813,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.8271480007097125,11,2874.202930735927,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.708554999320768,9,2426.8212286587027,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7684309972974006,11,2918.9867103547476,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7839069991605356,9,2378.4939751417414,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.820229001576081,11,2879.408536886616,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.754909997951472,9,2396.861710376557,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7571520006167702,11,2927.7495289501867,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7386499971034937,9,2407.286054317125,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.848329000902595,11,2858.383469142071,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7306119993445463,9,2412.472806494287,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
3.7712160010414664,11,2916.8310690669055,ok,single_short,short,transformers-gpu,models/gpt2-100m,fp32,,,
1.6969819989753887,9,5303.532981159529,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.6311289982695598,11,6743.795255721488,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.568732001032913,9,5737.117617333016,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5301150015147869,11,7189.002126709557,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5394699985336047,9,5846.167842551523,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.517149001301732,11,7250.441446793868,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5492849997826852,9,5809.131309773483,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5165619988692924,11,7253.24781195975,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.542965997941792,9,5832.921796076755,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5832079989195336,11,6947.918408387902,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5441940013261046,9,5828.283228837236,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5554090023215394,11,7072.094853239149,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.523019000160275,9,5909.315641533614,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.512988001195481,11,7270.381517439924,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5858490005484782,9,5675.193537901326,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5581990010105073,11,7059.432070529112,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5580430008412804,9,5776.4772828095,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5627279972250108,11,7038.972885577704,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5226930008793715,9,5910.580789957269,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5021400031400844,11,7322.886000642763,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5185029988060705,9,5926.889842875707,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5048919995024335,11,7309.494637247696,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5074439979798626,9,5970.371046659757,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5094750015123282,11,7287.301869179157,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5100130003702361,9,5960.213586103771,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.510669000708731,11,7281.542147776479,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.509671001258539,9,5961.5638059531775,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5127609985938761,11,7271.472499770017,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5268200004356913,9,5894.60447035785,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5032030023576226,11,7317.707576919157,ok,single_short,short,transformers-gpu-compile,models/gpt2-100m,fp32,,,
3.9772769996488933,17,4274.281122863891,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.05294799929834,19,4687.9456640670805,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.8586419977946207,17,4405.6950631119,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.913194999768166,19,4855.367545222162,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.9812360009818804,17,4270.030713026643,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.1049960018426646,19,4628.506335078333,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.816067001025658,17,4454.848406862576,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.894543999194866,19,4878.619937001082,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.9000840006337967,17,4358.8804746865335,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.3283289996907115,19,4389.6847955314115,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.8910510011191946,17,4368.999531260381,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.8648139998258557,19,4916.148616946668,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.8750330022594426,17,4387.059410871518,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.9196440011437517,19,4847.378995249518,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.11775199972908,17,4128.466211932745,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.23676699938369,19,4484.551546677897,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.032706998259528,17,4215.530661497851,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.0297670020663645,19,4714.9127952701165,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.933353000320494,17,4322.012287891481,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.922564999811584,19,4843.769319542861,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.884294997988036,17,4376.59858708094,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.9342150012089405,19,4829.425944988139,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.9116519983508624,17,4345.989880277472,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.981705998739926,19,4771.823938284959,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.8887629998498596,17,4371.570085566117,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.0840670008037705,19,4652.225342106454,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.911927000444848,17,4345.6843642703025,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.8604420005867723,19,4921.716217239392,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
3.8639919985143933,17,4399.595031908986,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
4.180941999948118,19,4544.4304178904595,ok,single_medium,medium,transformers-gpu,models/gpt2-100m,fp32,,,
1.5895780015853234,17,10694.662346261399,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5662480000173673,19,12130.901364144962,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5834389996598475,17,10736.125612449814,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5914729992800858,19,11938.625417204556,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.541199002531357,17,11030.373087497583,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5257390004990157,19,12452.981796877295,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.534686001832597,17,11077.184505299447,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5255840007739607,19,12454.24702301604,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.537700998596847,17,11055.465279343975,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5274190009222366,19,12439.284825269318,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.502813000115566,17,11312.119337996613,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5234520033118315,19,12471.676139908517,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5249589996528812,17,11147.84069858247,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5433879998454358,19,12310.579064955004,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5081439996720292,17,11272.133167454123,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5051869995659217,19,12623.016280023265,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.521037000202341,17,11176.585446467456,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5197239990811795,19,12502.270156612216,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5143080017878674,17,11226.249864577718,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5137730006244965,19,12551.419527341075,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.514640996902017,17,11223.78176397647,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5228000011120457,19,12477.0160140038,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5603229985572398,17,10895.180046515454,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.518482000392396,19,12512.496028988257,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5084330007084645,17,11269.973536786601,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.5265769980032928,19,12446.145870697193,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
1.510052003141027,17,11257.890433335186,ok,single_medium,medium,transformers-gpu-compile,models/gpt2-100m,fp32,,,
