backend,backend_kind,batch_size,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,spearman_rho_loglog,spearman_p_loglog,theilsen_slope,theilsen_log10_intercept,theilsen_slope_ci_low,theilsen_slope_ci_high,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested,gen_tokens_target
hf_cpu_fp32,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,0.9638104044123564,0.1927516462507656,0.2869062316565177,0.7714285714285715,0.0723965014577259,0.2474376121568275,0.8857374976107242,-0.3464053601913979,1.3223882671624745,0.027084582471437,0.9027239696825964,-0.2708913360428156,1.1534545195919212,1000,1000,32
hf_gpu_fp16,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.332390432069998,-0.1405884662975335,0.140580065957429,-0.1428571428571428,0.7871720116618075,-0.0008518344466323,2.132413238406039,-0.7444812423209265,1.2928799552253,-0.3281572763284269,0.9357762582294624,0.5306764654811862,2.5595219770243496,1000,1000,32
hf_gpu_fp16,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,2.3196225203754324,-0.1429411529356152,0.144826752763192,-0.1428571428571428,0.7871720116618075,-0.0010369351061448,2.115760189771479,-0.7470389724919921,1.2819639569772543,-0.3301036949954611,0.9353309983584844,0.5151524107761658,2.545292005343644,1000,1000,32
hf_gpu_fp16,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,0.8678371516402928,-0.1131449449795363,0.1648366358799872,-0.0285714285714285,0.9571545189504372,0.1836383591209435,0.3761617636507851,-0.516899016288035,1.5127112535299223,-0.2728742172502084,0.4978108822799992,-0.1881956218602485,1.0470631131379555,1000,1000,32
ollama,ollama,1.0,e2e_kv,__all__,geomean_across_scenarios,3,True,0.1507851078730563,0.6703027072042287,0.9464720632481816,1.0,0.0,0.7195915337919163,-0.2146094732792058,0.5225954776565369,1.3708976642337054,0.3321457048437534,1.3708976642337074,-2.7422071570335147,1.590135647872028,1000,1000,32
ollama,ollama,1.0,kv_decode,__all__,geomean_across_scenarios,3,True,0.1330427203986204,0.6708311135724248,0.9474609153873456,1.0,0.0,0.719675532787662,-0.2290573200441259,0.5244556702797457,1.365109231968069,0.3303262587424796,1.3651092319680704,-2.733865192739526,1.581803192941624,1000,1000,32
ollama,ollama,1.0,prefill,__all__,geomean_across_scenarios,3,True,-1.1521342143230946,0.6247895341768548,0.9320939424134044,1.0,0.0,0.6769329305464356,-1.5386906774278348,0.4685278182835831,1.3659595531856477,0.0839714735436573,1.3659595531856494,-4.212674560009424,0.8442352653317371,1000,1000,32
hf_cpu_fp32,hf,1.0,e2e_kv,__all__,geomean_across_scenarios,6,True,2.5429841035296143,0.2121802594318796,0.3693388982071209,0.942857142857143,0.004804664723032,0.7259835543814582,1.640195808343765,0.0251995526949894,1.1952246172635406,0.032969799472345,0.829305043536022,1.467316995629584,2.7532623087152164,1000,1000,64
hf_cpu_fp32,hf,1.0,kv_decode,__all__,geomean_across_scenarios,6,True,2.5336813877272064,0.2123993372962578,0.3706138699821575,0.942857142857143,0.004804664723032,0.7249194052996918,1.632291060940133,0.0247796886312762,1.1930568545814908,0.0327064694942039,0.8244843682522067,1.460307646256524,2.7442203345949467,1000,1000,64
hf_cpu_fp32,hf,1.0,prefill,__all__,geomean_across_scenarios,6,True,0.8647060782184185,0.2128388748988335,0.3519577319912818,0.942857142857143,0.004804664723032,0.6926063457553477,0.0419388999859227,0.057572160889347,1.0148366741984765,0.0530880711749257,0.8800957608266481,-0.2994099538806822,1.0644475500133714,1000,1000,64
