scenario,output_dir,agent_a_num_gpu,agent_a_num_ctx,agent_a_temperature,agent_b_num_gpu,agent_b_num_ctx,agent_b_temperature,speedup,efficiency,throughput_delta,ttft_delta_ms,agent_a_url,agent_b_url
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase3\chimera-hetero\gpu80_ctx512,80.0,512.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.4440037150785696,72.20018575392847,0.5363436841422924,1145.33468,http://localhost:11434,http://localhost:11434
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-hetero\gpu120_140_ctx1024_2048,120.0,1024.0,0.800000011920929,140.0,2048.0,0.800000011920929,1.7489658825951373,87.44829412975687,-1.185207394925746,-37.43768,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-hetero\gpu120_140_ctx512_1024,120.0,512.0,0.800000011920929,140.0,1024.0,0.800000011920929,1.7248063076980134,86.24031538490067,2.5193934982025112,-18.76783999999998,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-hetero\gpu60_80_ctx1024_2048,60.0,1024.0,0.800000011920929,80.0,2048.0,0.800000011920929,1.745603954611092,87.28019773055459,1.504370915911629,-35.66455999999998,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-hetero\gpu60_80_ctx512_1024,60.0,512.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.7189606108066429,85.94803054033216,2.5429641616357785,-23.55225999999997,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-hetero\gpu80_100_ctx1024_2048,80.0,1024.0,0.800000011920929,100.0,2048.0,0.800000011920929,1.8175604427674332,90.87802213837168,12.669559791570846,-20.599800000000016,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase1\chimera-hetero\gpu80_100_ctx512_1024,80.0,512.0,0.800000011920929,100.0,1024.0,0.800000011920929,1.8373817077566088,91.86908538783044,11.999853922789935,-29.886320000000033,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_hetero,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110_dual\phase3\chimera-hetero\gpu80_ctx512,80.0,512.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.77969543948169,88.98477197408451,15.338764702662747,-28.305320000000016,http://127.0.0.1:11434,http://127.0.0.1:11435
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results\homo_gpu80_ctx1024_temp0p6,80.0,1024.0,0.6000000238418579,80.0,1024.0,0.6000000238418579,1.6441078024546782,82.20539012273392,-1.2013011208636613,6403.0282,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results\homo_gpu80_ctx1024_temp0p8,80.0,1024.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.3543067752464553,67.71533876232276,-0.4647986633570298,-3472.2320999999997,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results\homo_gpu80_ctx512_temp0p6,80.0,512.0,0.6000000238418579,80.0,512.0,0.6000000238418579,1.5473271413865217,77.36635706932609,-0.2891543135853709,-3566.2940000000003,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results\homo_gpu80_ctx512_temp0p8,80.0,512.0,0.800000011920929,80.0,512.0,0.800000011920929,1.3835894532534068,69.17947266267034,-0.845536176397502,-3782.1420000000003,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-homo\gpu120_ctx1024_temp0p8,120.0,1024.0,0.800000011920929,120.0,1024.0,0.800000011920929,1.5350653274201633,76.75326637100818,-0.5355755710963649,2251.77986,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-homo\gpu120_ctx512_temp0p8,120.0,512.0,0.800000011920929,120.0,512.0,0.800000011920929,1.5142653705376141,75.7132685268807,0.17084288833155484,319.68364000000054,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-homo\gpu60_ctx1024_temp0p8,60.0,1024.0,0.800000011920929,60.0,1024.0,0.800000011920929,1.4735548798969091,73.67774399484546,-0.18171730129125194,8.865900000000147,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-homo\gpu60_ctx512_temp0p8,60.0,512.0,0.800000011920929,60.0,512.0,0.800000011920929,1.5927389313199796,79.63694656599898,-0.6326583355563941,4399.41122,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-homo\gpu80_ctx1024_temp0p8,80.0,1024.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.5152484323234239,75.7624216161712,-0.5266641248944467,2446.8464999999997,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase1\chimera-homo\gpu80_ctx512_temp0p8,80.0,512.0,0.800000011920929,80.0,512.0,0.800000011920929,1.4663860570554597,73.31930285277299,-0.7115971630575217,-1753.50492,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx1024_temp0p6,80.0,1024.0,0.6000000238418579,80.0,1024.0,0.6000000238418579,1.6454831069866944,82.27415534933472,1.5761226737518457,1127.156,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx1024_temp0p8,80.0,1024.0,0.800000011920929,80.0,1024.0,0.800000011920929,1.4447130050482868,72.23565025241435,-0.13961253413706629,-1974.98836,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx1024_temp1,80.0,1024.0,1.0,80.0,1024.0,1.0,1.4451724881535895,72.25862440767949,-0.5163625440634518,-2047.6782399999997,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx2048_temp0p6,80.0,2048.0,0.6000000238418579,80.0,2048.0,0.6000000238418579,1.4304337327122152,71.52168663561076,-0.45761354213873345,-1893.3560600000005,http://localhost:11434,http://localhost:11434
chimera_homo,Demo_rust_multiagent\Demo_rust_multiagent_results_tr110\phase2\chimera-homo\gpu80_ctx2048_temp0p8,80.0,2048.0,0.800000011920929,80.0,2048.0,0.800000011920929,1.4628222971769917,73.14111485884959,-0.14803659388398954,140.93796000000003,http://localhost:11434,http://localhost:11434
