timestamp,lag_ms
14095.3995626,2.6892
14095.5024933,2.8840
14095.6049462,2.4125
14095.7115263,6.5266
14095.8199176,8.3398
14095.9232556,3.2746
14096.0279239,4.6214
14096.1314656,3.4803
14096.2381488,6.6281
14096.3463843,6.6957
14096.4523492,5.8301
14096.5582876,5.8803
14096.6686804,10.3050
14096.7745182,5.7646
14096.8845012,9.8918
14096.9881606,3.6001
14097.0943155,6.0825
14097.1955709,1.2038
14097.2992615,3.5880
14097.4021762,2.8219
14097.5096603,7.4409
14097.6163133,6.5547
14097.7229448,6.5177
14097.8237928,0.7970
14097.9297285,5.8787
14098.0400829,10.3037
14098.1438721,3.6563
14098.250465,6.5449
14098.3558265,5.2929
14098.4601217,4.2376
14098.5608308,0.6400
14098.6635185,2.6444
14098.765239,1.6434
14098.8687651,3.4575
14098.9740377,5.2094
14099.0810998,6.9924
14099.1831677,2.0124
14099.2868726,3.5888
14099.3945686,7.5534
14099.4977508,3.1259
14099.6028834,5.0879
14099.7101071,7.1673
14099.8167227,6.5518
14099.92202,5.1655
14100.0251981,3.0941
14100.1325582,7.2581
14100.2366701,4.0517
14100.341764,5.0369
14100.4488872,7.0460
14100.5527504,3.7929
14100.6559206,3.0547
14100.7560802,0.0731
14100.8580761,1.9238
14100.964649,6.4795
14101.072849,8.1446
14101.1770324,4.1154
14101.2826772,5.5933
14101.3904323,7.6626
14101.494011,3.5215
14101.5955427,1.4883
14101.7037206,8.1251
14101.8063177,1.0638
14101.9104753,4.0761
14102.0122136,1.6973
14102.118889,6.4940
14102.2261765,7.2247
14102.3279701,1.6625
14102.4304101,2.3971
14102.5312039,0.7501
14102.6394684,8.2101
14102.7468568,7.3256
14102.8529198,5.9750
14102.9552543,2.2822
14103.0607881,5.4701
14103.1650889,4.2472
14103.268872,3.7286
14103.3718639,2.9188
14103.4748685,2.9458
14103.5774227,2.4915
14103.6821521,4.6622
14103.782465,0.2571
14103.8843669,1.8556
14103.9865269,2.0445
14104.088605,1.9970
14104.1898326,1.1750
14104.2901193,0.2009
14104.3916107,1.4305
14104.4940912,2.3631
14104.5991541,5.0223
14104.7039118,4.7072
14104.8045285,0.5314
14104.9115231,6.9220
14105.0137419,2.1648
14105.1176962,3.8519
14105.2202199,2.4302
14105.3253094,4.9562
14105.4364668,11.0723
14105.5429868,6.4158
14105.6507311,7.6283
14105.7587367,7.9128
14105.8663779,7.5919
14105.9718288,5.3312
14106.0779092,6.0229
14106.1853621,7.4100
14106.2926939,7.2792
14106.3998436,7.0992
14106.5056262,5.7005
14106.6112194,5.5335
14106.7179154,6.6424
14106.8188467,0.8903
14106.927515,8.6064
14107.0353069,7.7136
14107.1422941,6.9143
14107.247819,5.3333
14107.3542282,6.3620
14107.4545903,0.3130
14107.5557441,1.1121
14107.6628762,7.0617
14107.7677405,4.7716
14107.8729359,5.1098
14107.9799215,6.9418
14108.0810801,1.1155
14108.1860458,4.9506
14108.2935857,7.3481
14108.3989413,5.2929
14108.5036155,4.6213
14108.6105115,6.7714
14108.7178504,7.2968
14108.8254135,7.4798
14108.9310718,5.5384
14109.0318409,0.7183
14109.1371078,5.1914
14109.2452256,8.0285
14109.3531481,7.8159
14109.4604427,7.1681
14109.5661216,5.6382
14109.6720408,5.8627
14109.7802038,8.0939
14109.8869057,6.6300
14109.997188,10.1840
14110.1037665,6.4599
14110.2100994,6.2146
14110.3160623,5.9013
14110.4225238,6.3764
14110.5265935,4.0081
14110.6293596,2.7062
14110.7371977,7.7262
14110.8450226,7.7176
14110.9501017,5.0306
14111.0571794,7.0085
14111.1670625,9.8351
14111.271719,4.6142
14111.3771045,5.3395
14111.486838,9.6895
14111.5919505,5.0616
14111.6930928,1.0506
14111.8011889,7.9850
14111.9095813,8.3077
14112.0166101,6.9689
14112.1247766,8.0340
14112.2322778,7.3919
14112.3398953,7.5549
14112.4403244,0.3739
14112.5438448,3.4624
14112.6444137,0.5169
14112.7541116,9.5988
14112.8542935,0.0675
14112.9559512,1.6407
14113.0619071,5.8863
14113.1656978,3.7237
14113.2715661,5.7860
14113.3728017,1.1835
14113.476832,3.9578
14113.582479,5.5881
14113.6880821,5.5116
14113.7899519,1.8265
14113.8963975,6.3819
14114.002753,6.2782
14114.107729,4.8628
14114.2087244,0.9041
14114.3176515,8.8446
14114.4240969,6.3708
14114.5287916,4.6338
14114.6347932,5.9298
14114.7434533,8.5613
14114.8560372,12.5255
