backend,backend_kind,mode,scenario,aggregation,n_models,ok,log10_intercept,slope,r2,slope_ci_low,slope_ci_high,log10_intercept_ci_low,log10_intercept_ci_high,boot_n_used,boot_n_requested,gen_tokens_target
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,0.4036983237567987,0.6911752937830069,0.9192987236228494,0.368781095702228,1.5912110441509697,-3.312852070773573,1.780706206017066,1000,1000,64
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.4019976996331271,0.7012164921182381,0.9071397394476663,0.0736464139009278,1.6872454188188009,-5.473642848227638,0.9077520908201469,1000,1000,64
hf_cpu_fp32,hf,e2e_kv,__all__,geomean_across_scenarios,6,True,2.7957507533970123,0.3728112128757412,0.4975312820394448,0.1406689200506278,1.1825460986693554,1.442158154993101,3.073262622343975,1000,1000,128
hf_cpu_fp32,hf,kv_decode,__all__,geomean_across_scenarios,6,True,2.791033742181459,0.3729814276405643,0.4992056899109662,0.1419144201415043,1.1795928993754954,1.442927920753149,3.067851903435708,1000,1000,128
hf_cpu_fp32,hf,prefill,__all__,geomean_across_scenarios,6,True,0.8434619490248887,0.3509991002913645,0.3186273114383761,0.0156520619983943,1.5260605960012843,-1.165392491648963,1.426245471064252,1000,1000,128
hf_gpu_fp16,hf,e2e_kv,__all__,geomean_across_scenarios,6,True,2.795831386126357,-0.0639347195561912,0.0252116073648445,-0.2781644403448628,1.0791304315167782,0.8790436502568996,3.0345228257965107,1000,1000,128
hf_gpu_fp16,hf,kv_decode,__all__,geomean_across_scenarios,6,True,2.792297373868886,-0.0645598341029751,0.0255555706447695,-0.2792686721141763,1.0824621222252684,0.8688900109780884,3.031475317882094,1000,1000,128
hf_gpu_fp16,hf,prefill,__all__,geomean_across_scenarios,6,True,0.7253203727934373,-0.0285247440188919,0.0066719502864674,-0.2144175300313026,0.9613373618767852,-0.923514290379962,0.9442791285927412,1000,1000,128
ollama,ollama,e2e_kv,__all__,geomean_across_scenarios,3,True,0.7068892812929988,0.6916586638633587,0.9175847683162192,0.407733595581336,1.6026875486566672,-3.055055463482839,1.934394598821346,1000,1000,128
ollama,ollama,kv_decode,__all__,geomean_across_scenarios,3,True,0.7010631198097808,0.6921548537768003,0.9178888867879192,0.4072688638701642,1.6020028947256375,-3.05600552348425,1.932440666251937,1000,1000,128
ollama,ollama,prefill,__all__,geomean_across_scenarios,3,True,-1.2159077439426147,0.6560158209309472,0.8924697550726102,0.0895384501137437,1.6568049022626168,-5.348502536476427,0.9045685044220024,1000,1000,128
