backend,scenario,quantization,model,n_samples,first_ms,median_rest_ms,ratio_first_over_median_rest,first_over_2x_rest_median,first_over_3x_rest_median,mean_ms,median_ms,p99_ms,max_ms,max_index,mean_excl_first_ms,path
transformers-gpu,dual_short,int8,models/tiny-gpt2,14,289.1589999999269,282.96870000122,1.0218762711164882,False,False,285.0263785710143,283.1559500009462,303.04388000015024,303.99860000034096,12,284.70848461494404,results\tr117_tier3\runs\dual_short\transformers-gpu\int8\models_tiny-gpt2\run_1765146230053.json
transformers-gpu-compile,dual_short,int8,models/tiny-gpt2,14,287.2623000002932,287.63859999889974,0.9986917611245223,False,False,294.69910714267047,287.45044999959646,381.43709600262804,393.28800000293995,6,295.27116923054564,results\tr117_tier3\runs\dual_short\transformers-gpu-compile\int8\models_tiny-gpt2\run_1765146254233.json
transformers-gpu,single_long,fp16,models/tiny-gpt2,14,326.1318000004394,333.3033999988402,0.9784832678021714,False,False,355.04331428611687,330.8270999996239,514.6166180013096,527.2866000013892,4,357.26727692347663,results\tr117_tier3\runs\single_long\transformers-gpu\fp16\models_tiny-gpt2\run_1765144943384.json
transformers-gpu-compile,single_long,fp16,models/tiny-gpt2,14,332.7300999990257,350.6402999992133,0.9489214445680436,False,False,360.3421000001877,348.1465999993816,442.3721740003748,445.974500000375,5,362.4661000002771,results\tr117_tier3\runs\single_long\transformers-gpu-compile\fp16\models_tiny-gpt2\run_1765144958727.json
transformers-gpu,single_long,fp32,models/tiny-gpt2,14,498.1588999999076,382.1806999985711,1.3034643036704108,False,False,445.9752428570677,385.3125999994518,697.1808960001727,701.0381000000052,3,441.9611153845416,results\tr117_tier3\runs\single_long\transformers-gpu\fp32\models_tiny-gpt2\run_1765144937103.json
transformers-gpu-compile,single_long,fp32,models/tiny-gpt2,14,360.41649999970105,368.5375999993994,0.9779639852223719,False,False,394.1186928568641,365.5347499989148,587.3971019994132,598.961199999394,2,396.711169230492,results\tr117_tier3\runs\single_long\transformers-gpu-compile\fp32\models_tiny-gpt2\run_1765144953197.json
transformers-gpu,single_long,int8,models/tiny-gpt2,14,359.1894000001048,328.56750000064494,1.0931982012810146,False,False,343.73466428548585,329.88860000023124,406.8250099994839,409.6814999993512,11,342.5458384612844,results\tr117_tier3\runs\single_long\transformers-gpu\int8\models_tiny-gpt2\run_1765144948367.json
transformers-gpu-compile,single_long,int8,models/tiny-gpt2,14,327.47740000013437,409.77290000046196,0.7991680269724162,False,False,471.7777928573404,401.7749000004187,679.9224400005005,681.7635000006703,5,482.87782307712547,results\tr117_tier3\runs\single_long\transformers-gpu-compile\int8\models_tiny-gpt2\run_1765144963783.json
transformers-gpu,single_medium,fp16,models/tiny-gpt2,14,317.1394999990298,315.99139999889303,1.0036333267302235,False,False,316.8688214284754,315.9933499991894,323.08426600135135,323.41080000151123,5,316.84799999997125,results\tr117_tier3\runs\single_medium\transformers-gpu\fp16\models_tiny-gpt2\run_1765143929915.json
transformers-gpu-compile,single_medium,fp16,models/tiny-gpt2,14,329.0873999994801,339.96599999954924,0.968000917738587,False,False,360.77030714243716,337.890349999725,534.0090810001492,551.1764000002586,12,363.20745384574155,results\tr117_tier3\runs\single_medium\transformers-gpu-compile\fp16\models_tiny-gpt2\run_1765143943244.json
transformers-gpu,single_medium,fp32,models/tiny-gpt2,14,441.36489999982587,318.25909999861324,1.3868099922413815,False,False,335.10984285697174,320.00759999937145,431.01917499976474,441.36489999982587,0,326.93637692290605,results\tr117_tier3\runs\single_medium\transformers-gpu\fp32\models_tiny-gpt2\run_1765143925207.json
transformers-gpu-compile,single_medium,fp32,models/tiny-gpt2,14,366.1723000004713,323.79519999994955,1.1308762452331855,False,False,329.64909285731534,324.21229999999923,376.1371060002966,377.6261000002705,3,326.8396153847649,results\tr117_tier3\runs\single_medium\transformers-gpu-compile\fp32\models_tiny-gpt2\run_1765143938614.json
transformers-gpu,single_medium,int8,models/tiny-gpt2,14,322.0578000000387,308.1223000008322,1.0452271711562873,False,False,302.22174285713015,308.66119999973307,321.0446839999895,322.0578000000387,0,300.69589230767565,results\tr117_tier3\runs\single_medium\transformers-gpu\int8\models_tiny-gpt2\run_1765143934364.json
transformers-gpu-compile,single_medium,int8,models/tiny-gpt2,14,329.98010000119393,316.43439999970724,1.0428072927643115,False,False,323.37847857148256,316.92239999938465,401.9906860000082,412.53599999981816,2,322.87066153842784,results\tr117_tier3\runs\single_medium\transformers-gpu-compile\int8\models_tiny-gpt2\run_1765143948309.json
transformers-gpu,single_micro,fp16,models/tiny-gpt2,14,612.4012000000221,587.3883000003843,1.0425832451882704,False,False,581.6595357144771,590.9848000001148,611.9243210000423,612.4012000000221,0,579.2947923078967,results\tr117_tier3\runs\single_micro\transformers-gpu\fp16\models_tiny-gpt2\run_1765143089818.json
transformers-gpu-compile,single_micro,fp16,models/tiny-gpt2,14,555.7705999999598,571.3489999998274,0.9727340032101706,False,False,573.5300714283896,570.1396499998737,620.0470549991769,622.3761999990529,2,574.8961846151919,results\tr117_tier3\runs\single_micro\transformers-gpu-compile\fp16\models_tiny-gpt2\run_1765143114668.json
transformers-gpu,single_micro,fp32,models/tiny-gpt2,14,3325.808899999174,598.8882000001468,5.553305107695158,True,True,796.1202285714535,599.4324499997674,2973.9787069993304,3325.808899999174,0,601.5287923077826,results\tr117_tier3\runs\single_micro\transformers-gpu\fp32\models_tiny-gpt2\run_1765143078658.json
transformers-gpu-compile,single_micro,fp32,models/tiny-gpt2,14,553.5556000013457,585.9638000001723,0.9446924878314717,False,False,579.7003642859896,584.0893499998856,609.866022001388,610.180700001365,6,581.7115000001929,results\tr117_tier3\runs\single_micro\transformers-gpu-compile\fp32\models_tiny-gpt2\run_1765143106537.json
transformers-gpu,single_micro,int8,models/tiny-gpt2,14,558.3480000004784,594.2631999987498,0.9395634796192209,False,False,610.1557999997697,592.0958999995491,861.8277199990915,888.1989999990765,6,614.1410153843306,results\tr117_tier3\runs\single_micro\transformers-gpu\int8\models_tiny-gpt2\run_1765143097975.json
transformers-gpu-compile,single_micro,int8,models/tiny-gpt2,14,551.0733000010077,579.8799000003783,0.9503231617454723,False,False,569.3356857145773,579.3053000006694,617.83395200011,619.5525000002817,10,570.7404846156211,results\tr117_tier3\runs\single_micro\transformers-gpu-compile\int8\models_tiny-gpt2\run_1765143122711.json
transformers-gpu,single_short,fp16,models/tiny-gpt2,14,338.8976999995066,324.1030999997747,1.0456478200910209,False,False,323.5333714287013,324.88945000022795,337.9419659996347,338.8976999995066,0,322.3515000001778,results\tr117_tier3\runs\single_short\transformers-gpu\fp16\models_tiny-gpt2\run_1765143379802.json
transformers-gpu-compile,single_short,fp16,models/tiny-gpt2,14,328.2727000005252,322.68180000028224,1.017326356801772,False,False,322.9195928570334,324.3148499996096,335.209759999525,335.33949999946344,8,322.5078153844571,results\tr117_tier3\runs\single_short\transformers-gpu-compile\fp16\models_tiny-gpt2\run_1765143393483.json
transformers-gpu,single_short,fp32,models/tiny-gpt2,14,403.7831000005099,328.68779999989783,1.2284699949332936,False,False,341.58062857139674,328.9501499994003,411.8544379993,413.0604999991192,8,336.7958230768496,results\tr117_tier3\runs\single_short\transformers-gpu\fp32\models_tiny-gpt2\run_1765143375011.json
transformers-gpu-compile,single_short,fp32,models/tiny-gpt2,14,320.26089999999385,322.5421000006463,0.9929274348971874,False,False,333.44447142865516,321.67014999959065,494.85618699909526,518.573399998786,9,334.45859230778296,results\tr117_tier3\runs\single_short\transformers-gpu-compile\fp32\models_tiny-gpt2\run_1765143388805.json
transformers-gpu,single_short,int8,models/tiny-gpt2,14,317.0896999999968,319.41120000010415,0.9927319392679199,False,False,317.8769857145848,319.02215000081924,329.6069449987044,329.99479999853065,10,317.9375461541685,results\tr117_tier3\runs\single_short\transformers-gpu\int8\models_tiny-gpt2\run_1765143384342.json
transformers-gpu-compile,single_short,int8,models/tiny-gpt2,14,330.83740000074613,328.69190000019444,1.0065273893288835,False,False,326.4784857145579,329.46760000049835,334.9517010008094,335.2016000008007,4,326.1431846156204,results\tr117_tier3\runs\single_short\transformers-gpu-compile\int8\models_tiny-gpt2\run_1765143398014.json
transformers-gpu,stress_single,fp16,models/tiny-gpt2,7,565.8675000013318,560.3079499996966,1.0099223114746778,False,False,561.795585713948,562.4424000016006,573.6958200012305,574.195500001224,1,561.1169333327174,results\tr117_tier3\runs\stress_single\transformers-gpu\fp16\models_tiny-gpt2\run_1765149463324.json
transformers-gpu-compile,stress_single,fp16,models/tiny-gpt2,7,577.6681999996072,573.7252500002796,1.0068725404700694,False,False,579.1494999996628,576.3267000002088,610.9339540006476,612.650200000644,6,579.3963833330054,results\tr117_tier3\runs\stress_single\transformers-gpu-compile\fp16\models_tiny-gpt2\run_1765149475284.json
transformers-gpu,stress_single,fp32,models/tiny-gpt2,7,612.7575999998953,564.8375000000669,1.0848387368045194,False,False,573.365328572046,565.1292000002286,611.2310799999977,612.7575999998953,0,566.7999500007378,results\tr117_tier3\runs\stress_single\transformers-gpu\fp32\models_tiny-gpt2\run_1765149459296.json
transformers-gpu-compile,stress_single,fp32,models/tiny-gpt2,7,585.3788000022178,570.2953999989404,1.0264483985024346,False,False,572.7170142859644,573.7695999996504,589.2872260012518,589.5367000011902,3,570.6067166665889,results\tr117_tier3\runs\stress_single\transformers-gpu-compile\fp32\models_tiny-gpt2\run_1765149471264.json
transformers-gpu,stress_single,int8,models/tiny-gpt2,7,567.3004000018409,568.0285500020545,0.9987181102072933,False,False,568.1858571437521,567.3004000018409,573.1934360022569,573.388700002397,2,568.3334333340705,results\tr117_tier3\runs\stress_single\transformers-gpu\int8\models_tiny-gpt2\run_1765149467266.json
transformers-gpu-compile,stress_single,int8,models/tiny-gpt2,7,550.558999999339,560.1716999990458,0.9828397257488674,False,False,558.6246571417307,558.5302999970736,565.1131720000558,565.2601000001596,5,559.9689333321294,results\tr117_tier3\runs\stress_single\transformers-gpu-compile\int8\models_tiny-gpt2\run_1765149479349.json
