timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:00:20.302, 130.08 W, 99 %, 9725 MiB
2025/11/27 17:00:20.472, 130.08 W, 99 %, 9727 MiB
2025/11/27 17:00:20.674, 130.08 W, 99 %, 9727 MiB
2025/11/27 17:00:20.843, 134.91 W, 99 %, 9727 MiB
2025/11/27 17:00:21.012, 134.91 W, 99 %, 9727 MiB
2025/11/27 17:00:21.181, 134.91 W, 99 %, 9727 MiB
2025/11/27 17:00:21.349, 140.01 W, 100 %, 9727 MiB
2025/11/27 17:00:21.519, 140.01 W, 100 %, 9727 MiB
2025/11/27 17:00:21.674, 140.01 W, 100 %, 9727 MiB
2025/11/27 17:00:21.842, 132.60 W, 100 %, 9727 MiB
2025/11/27 17:00:22.012, 132.60 W, 100 %, 9727 MiB
2025/11/27 17:00:22.180, 132.60 W, 100 %, 9727 MiB
2025/11/27 17:00:22.350, 132.74 W, 100 %, 9727 MiB
2025/11/27 17:00:22.504, 132.74 W, 100 %, 9727 MiB
2025/11/27 17:00:22.688, 132.74 W, 100 %, 9727 MiB
2025/11/27 17:00:22.856, 133.05 W, 100 %, 9727 MiB
2025/11/27 17:00:23.026, 133.05 W, 100 %, 9727 MiB
2025/11/27 17:00:23.195, 133.05 W, 100 %, 9727 MiB
2025/11/27 17:00:23.365, 133.01 W, 98 %, 9727 MiB
2025/11/27 17:00:23.533, 133.01 W, 98 %, 9727 MiB
2025/11/27 17:00:23.702, 133.01 W, 98 %, 9727 MiB
2025/11/27 17:00:23.871, 133.42 W, 98 %, 9727 MiB
2025/11/27 17:00:24.039, 133.42 W, 98 %, 9727 MiB
2025/11/27 17:00:24.207, 133.42 W, 98 %, 9727 MiB
2025/11/27 17:00:24.376, 133.59 W, 100 %, 9727 MiB
2025/11/27 17:00:24.545, 133.59 W, 100 %, 9727 MiB
2025/11/27 17:00:24.713, 133.59 W, 100 %, 9727 MiB
2025/11/27 17:00:24.883, 132.85 W, 100 %, 9727 MiB
2025/11/27 17:00:25.052, 132.85 W, 100 %, 9727 MiB
2025/11/27 17:00:25.221, 132.85 W, 100 %, 9727 MiB
2025/11/27 17:00:25.391, 133.50 W, 99 %, 9727 MiB
2025/11/27 17:00:25.547, 133.50 W, 99 %, 9727 MiB
2025/11/27 17:00:25.716, 133.50 W, 99 %, 9727 MiB
2025/11/27 17:00:25.885, 134.21 W, 99 %, 9727 MiB
2025/11/27 17:00:26.055, 134.21 W, 99 %, 9727 MiB
2025/11/27 17:00:26.210, 134.21 W, 99 %, 9727 MiB
2025/11/27 17:00:26.379, 134.79 W, 100 %, 9727 MiB
2025/11/27 17:00:26.548, 134.79 W, 100 %, 9727 MiB
2025/11/27 17:00:26.718, 134.79 W, 100 %, 9727 MiB
2025/11/27 17:00:26.886, 135.08 W, 100 %, 9727 MiB
2025/11/27 17:00:27.055, 135.08 W, 100 %, 9727 MiB
2025/11/27 17:00:27.224, 135.08 W, 100 %, 9727 MiB
2025/11/27 17:00:27.394, 134.16 W, 100 %, 9727 MiB
2025/11/27 17:00:27.564, 134.16 W, 100 %, 9727 MiB
2025/11/27 17:00:27.732, 134.16 W, 100 %, 9727 MiB
2025/11/27 17:00:27.900, 133.24 W, 100 %, 9727 MiB
2025/11/27 17:00:28.070, 133.24 W, 100 %, 9727 MiB
2025/11/27 17:00:28.239, 133.24 W, 100 %, 9727 MiB
2025/11/27 17:00:28.409, 133.15 W, 100 %, 9727 MiB
