backend,model,scenario,mode,warmup_n,warmup_median_ms,measured_n,measured_median_ms,warmup_to_measured_ratio,warmup_minus_measured_ms
hf_gpu_fp16,models/gpt2-50m,medium,kv_decode,1,98.57729999976073,3,38.10669999984384,2.5868757987483746,60.470599999916885
hf_gpu_fp16,models/gpt2-5m,medium,kv_decode,1,118.2303000000502,3,109.28430000012668,1.0818598828918076,8.94599999992353
hf_gpu_fp16,models/gpt2-75m,medium,kv_decode,1,65.99540000024717,3,20.394499999838445,3.2359410625791245,45.60090000040873
hf_gpu_fp16,models/gpt2-100m,short,kv_decode,1,31.19349999997212,3,31.583400000272377,0.9876549073153335,-0.3899000003002584
hf_gpu_fp16,models/gpt2-25m,short,kv_decode,1,13.582900000074003,3,16.97150000018155,0.8003358571681173,-3.3886000001075463
hf_gpu_fp16,models/gpt2-45m,short,kv_decode,1,25.166299999909825,3,26.69819999982792,0.9426215999607476,-1.531899999918096
hf_gpu_fp16,models/gpt2-50m,short,kv_decode,1,31.029700000090088,3,31.4115999999558,0.9878420710862786,-0.38189999986571266
hf_gpu_fp16,models/gpt2-5m,short,kv_decode,1,142.36040000014327,3,135.31280000006518,1.0520837644337764,7.047600000078091
hf_gpu_fp16,models/gpt2-75m,short,kv_decode,1,68.5524999998961,3,71.60029999977269,0.9574331392482117,-3.047799999876588
hf_gpu_fp16,models/gpt2-100m,medium,prefill,1,245.38780000011684,3,6.809200000134297,36.03768430877006,238.57859999998254
hf_gpu_fp16,models/gpt2-25m,medium,prefill,1,5.760000000009313,3,5.219299999680516,1.1035962677680713,0.5407000003287976
hf_gpu_fp16,models/gpt2-45m,medium,prefill,1,6.669800000054238,3,5.638099999941915,1.1829871765529083,1.0317000001123233
hf_gpu_fp16,models/gpt2-50m,medium,prefill,1,6.122899999809306,3,4.414399999859597,1.3870288147888838,1.7084999999497086
hf_gpu_fp16,models/gpt2-5m,medium,prefill,1,35.393699999985984,3,13.962199999696168,2.534965836383678,21.431500000289816
hf_gpu_fp16,models/gpt2-75m,medium,prefill,1,9.93430000016815,3,3.704100000049948,2.6819740287881513,6.230200000118202
hf_gpu_fp16,models/gpt2-100m,short,prefill,1,5.26720000016212,3,5.152399999587942,1.0222808789269775,0.11480000057417783
hf_gpu_fp16,models/gpt2-25m,short,prefill,1,3.750100000161183,3,2.86099999993894,1.3107654667043753,0.8891000002222427
hf_gpu_fp16,models/gpt2-45m,short,prefill,1,34.72790000023451,3,4.138799999964249,8.390813762572362,30.589100000270264
hf_gpu_fp16,models/gpt2-50m,short,prefill,1,5.163599999832513,3,4.596200000378303,1.1234498062328682,0.56739999945421
hf_gpu_fp16,models/gpt2-5m,short,prefill,1,39.14709999980914,3,18.02419999967242,2.1719188646664276,21.122900000136724
hf_gpu_fp16,models/gpt2-75m,short,prefill,1,10.761900000034077,3,8.550300000024436,1.258657590962109,2.211600000009641
ollama,gemma3:270m,medium,e2e_kv,1,25.9335,3,16.2013,1.6007048817070235,9.732199999999999
ollama,gpt-oss-20b:latest,medium,e2e_kv,1,1340.0962,3,381.1461,3.515964613044709,958.9501
ollama,qwen2.5:7b,medium,e2e_kv,1,208.9615,3,92.1916,2.266600210865198,116.7699
ollama,gemma3:270m,short,e2e_kv,1,24.1164,3,14.7595,1.6339577898980318,9.3569
ollama,gpt-oss-20b:latest,short,e2e_kv,1,2589.3957,3,337.9251,7.662632044793359,2251.4706
ollama,qwen2.5:7b,short,e2e_kv,1,105.4935,3,92.202,1.144156308973775,13.2915
ollama,gemma3:270m,medium,kv_decode,1,16.1533,3,13.0194,1.2407100173587111,3.1339000000000024
ollama,gpt-oss-20b:latest,medium,kv_decode,1,307.7791,3,322.9882,0.9529112828270507,-15.209099999999978
ollama,qwen2.5:7b,medium,kv_decode,1,122.4621,3,81.0135,1.511625840137755,41.44860000000001
ollama,gemma3:270m,short,kv_decode,1,16.0313,3,12.373,1.2956679867453327,3.6583000000000023
ollama,gpt-oss-20b:latest,short,kv_decode,1,291.2487,3,286.6457,1.016058151229898,4.603000000000009
ollama,qwen2.5:7b,short,kv_decode,1,83.226,3,80.3071,1.0363467240131943,2.9188999999999936
ollama,gemma3:270m,medium,prefill,1,9.7802,3,2.6629,3.6727627774231104,7.1173
ollama,gpt-oss-20b:latest,medium,prefill,1,1032.3171,3,58.1579,17.750247171923334,974.1591999999999
ollama,qwen2.5:7b,medium,prefill,1,86.4994,3,11.6011,7.456137780038099,74.89829999999999
ollama,gemma3:270m,short,prefill,1,8.0851,3,2.3865,3.3878483134297093,5.698600000000001
ollama,gpt-oss-20b:latest,short,prefill,1,2298.147,3,51.7958,44.369369717235756,2246.3512
ollama,qwen2.5:7b,short,prefill,1,22.2675,3,11.9729,1.8598251050288568,10.294599999999999
