model,runtime,scenario,run,speedup,efficiency,throughput_delta,ttft_delta_ms,contention,path
llama3.1,rust,baseline-vs-chimera,3,1.9034227791483909,95.17113895741954,-5.352996864067784,128.09219999999993,False,experiments/TR116/results/multi\rust\llama3p1_8b_q4_0\baseline-vs-chimera_gpu80_ctx512_temp10\run_3\metrics.json
llama3.1,rust,baseline-vs-chimera,4,1.9100094041998164,95.50047020999082,-4.309279169148905,127.52369999999996,False,experiments/TR116/results/multi\rust\llama3p1_8b_q4_0\baseline-vs-chimera_gpu80_ctx512_temp10\run_4\metrics.json
llama3.1,rust,baseline-vs-chimera,5,1.9846570387084643,99.23285193542321,0.8144255167350671,140.59980000000002,False,experiments/TR116/results/multi\rust\llama3p1_8b_q4_0\baseline-vs-chimera_gpu80_ctx512_temp10\run_5\metrics.json
llama3.1,rust,chimera-homo,1,1.9809334297144185,99.04667148572092,-0.7071808151372565,-487.79835,False,experiments/TR116/results/multi\rust\llama3p1_8b_q4_0\chimera-homo_gpu80_ctx512_temp10\run_1\metrics.json
llama3.1,rust,chimera-homo,2,1.950491829542334,97.5245914771167,-2.7939338185701637,75.63760000000008,False,experiments/TR116/results/multi\rust\llama3p1_8b_q4_0\chimera-homo_gpu80_ctx512_temp10\run_2\metrics.json
llama3.1,rust,chimera-homo,3,1.9701120991057368,98.50560495528684,-1.4185484724501976,149.27805000000006,False,experiments/TR116/results/multi\rust\llama3p1_8b_q4_0\chimera-homo_gpu80_ctx512_temp10\run_3\metrics.json
llama3.1,rust,chimera-homo,4,1.9860507460013113,99.30253730006557,-0.5117452120211183,94.3442,False,experiments/TR116/results/multi\rust\llama3p1_8b_q4_0\chimera-homo_gpu80_ctx512_temp10\run_4\metrics.json
llama3.1,rust,chimera-homo,5,1.967223271119338,98.3611635559669,-1.574129271911474,78.93980000000005,False,experiments/TR116/results/multi\rust\llama3p1_8b_q4_0\chimera-homo_gpu80_ctx512_temp10\run_5\metrics.json
qwen2.5,rust,baseline-vs-chimera,1,1.7015422503060214,85.07711251530107,30.474329698255207,1422.77325,False,experiments/TR116/results/multi\rust\qwen2p5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_1\metrics.json
qwen2.5,rust,baseline-vs-chimera,2,1.7036896469055869,85.18448234527935,30.69066772306016,119.41145,False,experiments/TR116/results/multi\rust\qwen2p5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_2\metrics.json
qwen2.5,rust,baseline-vs-chimera,3,1.9916422775127913,99.58211387563956,-0.3484511063130533,17.660149999999987,False,experiments/TR116/results/multi\rust\qwen2p5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_3\metrics.json
qwen2.5,rust,baseline-vs-chimera,4,1.9757655960366622,98.78827980183311,-13.128155934070664,86.86974999999998,False,experiments/TR116/results/multi\rust\qwen2p5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_4\metrics.json
qwen2.5,rust,baseline-vs-chimera,5,1.6239488180182253,81.19744090091126,14.326197883652817,49.78305,False,experiments/TR116/results/multi\rust\qwen2p5_7b\baseline-vs-chimera_gpu80_ctx512_temp10\run_5\metrics.json
qwen2.5,rust,chimera-homo,1,1.9184651697256387,95.92325848628194,-3.652199664129931,-468.24395000000004,False,experiments/TR116/results/multi\rust\qwen2p5_7b\chimera-homo_gpu80_ctx512_temp10\run_1\metrics.json
qwen2.5,rust,chimera-homo,2,1.9480768995603808,97.40384497801904,-3.4886717157481613,111.60575,False,experiments/TR116/results/multi\rust\qwen2p5_7b\chimera-homo_gpu80_ctx512_temp10\run_2\metrics.json
qwen2.5,rust,chimera-homo,3,1.7988504373402496,89.94252186701249,-16.058867501680584,58.499300000000005,False,experiments/TR116/results/multi\rust\qwen2p5_7b\chimera-homo_gpu80_ctx512_temp10\run_3\metrics.json
qwen2.5,rust,chimera-homo,4,1.8359935380181673,91.79967690090837,-6.177822973236658,88.98155,False,experiments/TR116/results/multi\rust\qwen2p5_7b\chimera-homo_gpu80_ctx512_temp10\run_4\metrics.json
qwen2.5,rust,chimera-homo,5,1.4399730230520118,71.99865115260059,-32.72612734969299,159.90999999999994,True,experiments/TR116/results/multi\rust\qwen2p5_7b\chimera-homo_gpu80_ctx512_temp10\run_5\metrics.json
