scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.39045599970268,16.567392349243164,17.39045599970268,12,690.0336598537244,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.173640000692103,16.410207748413086,17.173640000692103,9,524.058964764447,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.330443999526324,16.560991287231445,17.330443999526324,12,692.4231139333755,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.13032400039083,16.36249542236328,17.13032400039083,9,525.3841083096073,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.458043999795336,16.679584503173828,17.458043999795336,12,687.3622268417171,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.334213998765335,16.551103591918945,17.334213998765335,9,519.2043896908763,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.311714000243228,16.53558349609375,17.311714000243228,12,693.1722647353926,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.208657998708077,16.427200317382812,17.208657998708077,9,522.9925541361602,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.285699999774806,16.40656089782715,17.285699999774806,12,694.2154497738786,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.190432001370937,16.39049530029297,17.190432001370937,9,523.5470521789243,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.43989600072382,16.578432083129883,17.43989600072382,12,688.077497681291,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.28716099933081,16.511104583740234,17.28716099933081,9,520.6175843649743,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.63872999981686,16.852767944335938,17.63872999981686,12,680.3210888836438,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.257065999729093,16.490848541259766,17.257065999729093,9,521.525501504212,ok,
single_short,short,transformers-gpu-compile,models/qwen2.5-3b:fp16,fp16,17.5165750006272,16.741535186767578,17.5165750006272,12,685.0654308602183,ok,
single_medium,medium,transformers-gpu,models/qwen2.5-3b:fp16,fp16,24.344682000446483,23.25494384765625,24.344682000446483,17,698.3044592526704,ok,
