backend,backend_kind,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,short,kv_decode,3,496.7616333330322,496.451199999683,510.1807899997766,511.4011979997849,257.8299740237948,128.0,9.0,128.0,496.4280395507813,411.03564453125,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,medium,prefill,3,6.447933333220135,6.486799999947834,6.50435000015932,6.505910000178119,2620.7066658655594,17.0,17.0,0.0,6.426623821258545,580.107421875,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,medium,prefill,3,2.7198999999503335,2.480600000126288,3.219409999928757,3.2850819999111986,6853.180681744147,17.0,17.0,0.0,2.4186880588531494,631.50439453125,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,medium,prefill,3,4.110133333294168,4.035099999782688,4.333539999970526,4.360067999987223,4213.030656220551,17.0,17.0,0.0,3.984384059906006,632.56591796875,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,medium,prefill,3,5.198766666580923,5.220699999881617,5.307370000082301,5.3150740001001395,3256.2683165831186,17.0,17.0,0.0,5.174272060394287,317.77099609375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,medium,prefill,3,9.654000000409724,9.057700000084878,11.238490000687307,11.432338000740856,1876.8561555185856,17.0,17.0,0.0,8.956928253173828,632.99609375,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,medium,prefill,3,7.895366666768193,5.222499999945285,12.64480000054391,13.304560000597121,3255.1460029062914,17.0,17.0,0.0,5.174272060394287,209.9267578125,,96.088,96.08832
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.03672,short,prefill,3,6.758900000325714,6.682500000351865,6.9391800001540105,6.961996000136423,1346.8013467304313,9.0,9.0,0.0,6.618207931518555,578.93505859375,,5.037,5.03672
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.016064,short,prefill,3,2.514866666691281,2.500100000361272,2.5468099999670812,2.550961999932042,3599.85600523958,9.0,9.0,0.0,2.429951906204224,630.7021484375,,25.016,25.016064
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.1712,short,prefill,3,4.079300000133419,4.024100000606268,4.188169999997627,4.202753999943526,2236.524936916097,9.0,9.0,0.0,3.962879896163941,409.4248046875,,45.171,45.1712
hf_gpu_fp16,hf,models/gpt2-50m,hf,51.475968,short,prefill,3,7.929300000190172,8.615100000497478,9.415920000174083,9.487104000145337,1044.677368745609,9.0,9.0,0.0,8.524800300598145,632.240234375,,51.476,51.475968
hf_gpu_fp16,hf,models/gpt2-75m,hf,74.824704,short,prefill,3,3.3840000002480033,3.3182000006490853,3.5035100005188724,3.519982000507298,2712.3139045987214,9.0,9.0,0.0,3.2787840366363525,558.80712890625,,74.825,74.824704
hf_gpu_fp16,hf,models/gpt2-100m,hf,96.08832,short,prefill,3,4.741600000064257,4.821100000299339,4.933059999893885,4.943011999857845,1866.7938850970104,9.0,9.0,0.0,4.772863864898682,411.03564453125,,96.088,96.08832
ollama,ollama,gemma3:270m,ollama,268.1,medium,e2e_kv,3,267.447,272.2213,273.18682,273.272644,562.0427203896242,153.0,25.0,128.0,,,159.7786,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,medium,e2e_kv,3,1470.2672,1470.3615,1471.95117,1472.092474,118.33824539067436,174.0,46.0,128.0,,,125.6286,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,medium,e2e_kv,3,7642.057633333334,7572.9344,7763.59454,7780.542108000001,29.97517052306699,227.0,99.0,128.0,,,251.8234,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,short,e2e_kv,3,271.6649888888889,277.4072666666667,277.4088566666666,277.40899799999994,522.6971944258129,145.0,17.0,128.0,,,150.0022,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,short,e2e_kv,3,1450.3206742857144,1451.8715542857144,1452.319036857143,1452.3588130857145,114.33518310210847,166.0,38.0,128.0,,,228.9615,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,short,e2e_kv,3,7271.644166666666,7216.2937,7377.32431,7391.638142,30.486564037713705,220.0,92.0,128.0,,,237.119,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,medium,kv_decode,3,264.3743666666667,269.2747,270.30412,270.395624,475.351007725568,128.0,25.0,128.0,,,159.7786,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,medium,kv_decode,3,1458.1212333333333,1457.9395,1459.75867,1459.920374,87.79513827562803,128.0,46.0,128.0,,,125.6286,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,medium,kv_decode,3,7575.266633333333,7505.6546,7693.84667,7710.574854,17.05380900421397,128.0,99.0,128.0,,,251.8234,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,short,kv_decode,3,269.18115555555556,274.4514666666667,274.85058666666663,274.886064,466.384827724246,128.0,17.0,128.0,,,150.0022,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,short,kv_decode,3,1438.3800076190475,1440.1199542857144,1440.2341668571428,1440.2443190857143,88.88148492011332,128.0,38.0,128.0,,,228.9615,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,short,kv_decode,3,7209.4873333333335,7151.1204,7315.26366,7329.854172,17.89929309538684,128.0,92.0,128.0,,,237.119,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,medium,prefill,3,3.0726333333333335,2.9466,3.35079,3.386718,8484.354849657231,25.0,25.0,0.0,,,159.7786,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,medium,prefill,3,12.145966666666666,12.167,12.3965,12.4169,3780.718336483932,46.0,46.0,0.0,,,125.6286,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,medium,prefill,3,66.791,67.2798,69.74786999999999,69.967254,1471.466918748272,99.0,99.0,0.0,,,251.8234,20900.0,20900.0
ollama,ollama,gemma3:270m,ollama,268.1,short,prefill,3,2.4838333333333336,2.5141,2.91163,2.946966,6761.863092160216,17.0,17.0,0.0,,,150.0022,268.1,268.1
ollama,ollama,qwen2.5:7b,ollama,7600.0,short,prefill,3,11.940666666666667,11.9485,12.10456,12.118432,3180.3155207766667,38.0,38.0,0.0,,,228.9615,7600.0,7600.0
ollama,ollama,gpt-oss-20b:latest,ollama,20900.0,short,prefill,3,62.15683333333333,61.7148,64.82745,65.10413,1490.7283180047573,92.0,92.0,0.0,,,237.119,20900.0,20900.0
