scenario,prompt_set,backend,model,quantization,latency_ms,cuda_event_ms,ttft_ms,tokens,tokens_per_s,status,error,accuracy,degraded_count,degraded_reasons,path
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.292404999730934,1.1102080345153809,1.292404999730934,1,773.7512623428339,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.2730260004900629,1.111840009689331,1.2730260004900629,1,785.5299103200099,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.2878649995400338,1.1237119436264038,1.2878649995400338,1,776.4789014043818,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.3488320000760723,1.1763520240783691,1.3488320000760723,1,741.382173572099,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.4423820002775756,1.2640960216522217,1.4423820002775756,1,693.2976145068071,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.5589470003760653,1.3022079467773438,1.5589470003760653,1,641.4586254431804,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.4922230002412107,1.290336012840271,1.4922230002412107,1,670.1411249111927,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,3.201231000275584,2.79203200340271,3.201231000275584,1,312.37983135672283,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,4.012340000372205,3.4104321002960205,4.012340000372205,1,249.23112196554501,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.677771999515244,2.281856060028076,2.677771999515244,1,373.44478924308333,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.3186700000223937,1.9956480264663696,2.3186700000223937,1,431.28172615781546,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.4234469992734375,2.0592000484466553,2.4234469992734375,1,412.63539095338393,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.530542000386049,2.157504081726074,2.530542000386049,1,395.1722594793701,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.176965999751701,1.8433279991149902,2.176965999751701,1,459.35490040453425,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.2667960001854226,1.9585920572280884,2.2667960001854226,1,441.15129897802916,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,2.123246999872208,1.825279951095581,2.123246999872208,1,470.9767634477699,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.9933829998990404,1.7180160284042358,1.9933829998990404,1,501.6597412793464,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.8494060004741186,1.5979199409484863,1.8494060004741186,1,540.7141534869236,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.814338999793108,1.560863971710205,1.814338999793108,1,551.1649146681142,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,1.965253999514971,1.6889280080795288,1.965253999514971,1,508.84007881261266,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_191009/prefill/runs/single_micro/transformers-gpu/fp32/run_1766344223875.json
