backend,scenario,n_total,n_ok,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,ttft_mean_ms,ttft_median_ms,warmup_mean_latency_ms,warmup_median_latency_ms,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-gpu,single_micro,5,5,0,0.0,1574.4794094060667,2484.3257917052706,,,33.81447333291968,3.689199999522922,19.246270000076038,3.2202499996856204,21.981533047311693,3.161849999742117,44.204800000443356,3.2172999999602325,42.42715000054886,-8.04740821009722,46.53994821024929,5
onnxruntime-gpu,single_short,5,5,0,0.0,3081.8997595556793,3056.8550805178597,,,4.18021333340827,4.113233332949069,3.5774900001342758,3.601350000280945,0.09612768449369695,3.42110000019602,3.660150000541762,3.558500000508502,3.6463499991441495,3.4581317150677617,3.69684828520079,5
tensorrt-fp16,batch_medium,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,batch_short,5,0,5,1.0,,,,,,,,,,,,,,,,0
tensorrt-fp16,single_long,5,5,0,0.0,4776.71300692184,4994.565996321051,,,5.648480000066533,5.648533334048504,6.048710000141,5.405900000369002,1.631114725168057,5.179699999644072,8.96035000005213,5.258350000076462,5.439250000563334,4.023413568959793,8.074006431322207,5
tensorrt-fp16,single_medium,5,5,0,0.0,4336.245568968724,4272.831145623236,,,4.70088666685721,4.748733333447793,4.394070000125794,4.446750000170141,0.22853315567093713,4.057050000483287,4.603400000632973,4.280049999579205,4.583099999763363,4.110308608333294,4.677831391918294,5
tensorrt-fp16,single_micro,5,5,0,0.0,3165.0297411243832,3345.683932208555,,,3.8987200000216644,2.998766666981586,2.549629999884928,2.3934499995448277,0.2626394311226392,2.328250000573462,2.901449999626493,2.3644999992029625,2.7605000004768954,2.2235200737512293,2.875739926018627,5
tensorrt-fp16,single_short,5,5,0,0.0,3126.492945284921,3158.5847080557724,,,4.64704000017567,3.8971000000553127,3.529039999921224,3.482600000097591,0.1875291689704067,3.2865000002857414,3.770299999814597,3.4520499993959675,3.6537500000122236,3.2961917821975995,3.7618882176448487,5
tensorrt-fp32,batch_medium,5,5,0,0.0,7996.916411099815,7978.125569583898,,,9.915826666595724,9.834899999987101,9.505390000049374,9.526050000204123,0.09752993409370429,9.403649999512709,9.618250000130502,9.405750000041735,9.573250000357802,9.384290592138035,9.626489407960714,5
tensorrt-fp32,batch_short,5,5,0,0.0,4525.827278428346,4679.76904736651,,,10.54705333347859,9.816133333515609,9.742609999921115,9.402349999618309,0.5044734757074908,9.333350000815699,10.342749999836087,9.39104999997653,10.243549999358947,9.116223447086401,10.368996552755828,5
