backend,scenario,mode,n_total,n_degraded,degraded_rate,throughput_mean_tok_s,throughput_median_tok_s,gpu_power_mean_watts,gpu_memory_mean_mb,gpu_temperature_mean_c,cpu_power_mean_watts,cpu_utilization_mean_pct,mean,median,std,min,max,q25,q75,ci_lower,ci_upper,n
onnxruntime-gpu,batch_medium,generate,7,0,0.0,508.6741008989843,512.3829343926607,36.29885714285714,5346.01953125,52.42857142857143,44.50302428758563,0.0,63.116457142314175,62.47539999822038,2.509743715129053,59.30889999945066,67.02890000087791,61.916949998703785,64.58405000012135,60.79533133800915,65.4375829466192,7
onnxruntime-gpu,batch_medium,prefill,7,0,0.0,2850.3547706432555,2852.4613684654933,14.605142857142855,5294.01953125,48.0,43.13428355959011,0.0,26.681971428323386,26.643799999874318,0.6855828773736155,25.78659999926458,27.672599999277736,26.167174999500276,27.168225000423263,26.04791301906475,27.316029837582022,7
onnxruntime-gpu,batch_short,generate,7,0,0.0,537.5161506116762,551.9568673215148,30.454,5346.01953125,51.57142857142857,69.1088933301776,0.0,60.27469285748209,57.97749999874213,7.477164929246091,54.01795000034326,76.7401000011887,57.269625001026725,59.32402500002354,53.359468663196076,67.1899170517681,7
onnxruntime-gpu,batch_short,prefill,7,0,0.0,1940.3331526195318,1769.2333377659502,15.936571428571428,5294.01953125,48.0,41.47089599481961,0.0,23.61097142862231,24.87084999847866,4.166798072472713,14.26894999895012,26.00710000115214,24.550674999773037,25.514275001114584,19.757325947196115,27.464616910048505,7
onnxruntime-gpu,single_long,generate,7,0,0.0,170.55839505228002,171.67819896307498,27.639999999999997,5346.01953125,51.285714285714285,52.22598297907525,0.0,47.039864285449895,46.60305000106746,2.496839038415076,44.48335000051884,51.489049998053815,45.19804999927146,48.15374999998312,44.73067331653721,49.34905525436258,7
onnxruntime-gpu,single_long,prefill,7,0,0.0,2291.684240894455,2268.1864927130628,16.806714285714285,5294.01953125,48.0,48.13276929437679,0.0,11.925171428239471,11.904549999599112,1.3998086275136474,10.219649999271496,13.554350000049453,10.808674998770584,13.090150000607537,10.630564370624562,13.21977848585438,7
onnxruntime-gpu,single_medium,generate,7,0,0.0,172.7425423950849,180.12223217178155,31.946142857142856,5346.01953125,51.714285714285715,57.43629361914778,0.0,47.5606785709845,44.418950001272606,5.836184863941039,42.683199999373755,58.20384999969974,43.86872499981109,49.940649998461595,42.16310781317053,52.95824932879847,7
onnxruntime-gpu,single_medium,prefill,7,0,0.0,2315.472005976146,2162.2463875293633,23.32357142857143,5294.01953125,48.42857142857143,58.84723317089131,0.0,9.014535714024012,8.788099999947008,2.681470351871574,5.023050000090734,11.725150001439033,7.365699998445052,11.417024999900605,6.534589259854705,11.494482168193318,7
onnxruntime-gpu,single_short,generate,7,0,0.0,168.36038267173663,193.95654233115994,27.686857142857143,5346.01953125,51.142857142857146,67.96475348109563,0.0,62.37733571496002,41.24760000013339,42.02044614804094,39.62004999993951,151.2080500015145,40.74137500083452,61.54145000073186,23.51490475251716,101.23976667740288,7
onnxruntime-gpu,single_short,prefill,7,0,0.0,1831.7206135546878,2304.9770073697196,12.488142857142858,5294.01953125,48.57142857142857,52.285653682444824,0.0,11.478807142858775,4.772300000695395,15.110681878855603,4.315749998568208,45.39440000007744,4.662799999096023,8.271800001239171,-2.496242746987294,25.453857032704846,7
