timestamp,power.draw [W],utilization.gpu [%],memory.used [MiB]
2025/11/27 17:04:57.313, 134.67 W, 100 %, 9499 MiB
2025/11/27 17:04:57.468, 134.67 W, 100 %, 9499 MiB
2025/11/27 17:04:57.637, 134.67 W, 100 %, 9499 MiB
2025/11/27 17:04:57.806, 135.96 W, 100 %, 9499 MiB
2025/11/27 17:04:57.976, 135.96 W, 100 %, 9499 MiB
2025/11/27 17:04:58.148, 135.96 W, 100 %, 9499 MiB
2025/11/27 17:04:58.319, 135.87 W, 100 %, 9499 MiB
2025/11/27 17:04:58.491, 135.87 W, 100 %, 9499 MiB
2025/11/27 17:04:58.659, 135.87 W, 100 %, 9499 MiB
2025/11/27 17:04:58.830, 136.25 W, 100 %, 9499 MiB
2025/11/27 17:04:58.986, 136.25 W, 100 %, 9499 MiB
2025/11/27 17:04:59.158, 136.25 W, 100 %, 9499 MiB
2025/11/27 17:04:59.328, 135.64 W, 100 %, 9499 MiB
2025/11/27 17:04:59.499, 135.64 W, 100 %, 9499 MiB
2025/11/27 17:04:59.669, 135.64 W, 100 %, 9499 MiB
2025/11/27 17:04:59.825, 133.98 W, 100 %, 9499 MiB
2025/11/27 17:04:59.997, 133.98 W, 100 %, 9499 MiB
2025/11/27 17:05:00.168, 133.98 W, 100 %, 9499 MiB
2025/11/27 17:05:00.337, 132.61 W, 98 %, 9499 MiB
2025/11/27 17:05:00.509, 132.61 W, 98 %, 9499 MiB
2025/11/27 17:05:00.679, 132.61 W, 98 %, 9499 MiB
2025/11/27 17:05:00.866, 132.59 W, 98 %, 9499 MiB
2025/11/27 17:05:01.036, 132.59 W, 98 %, 9499 MiB
2025/11/27 17:05:01.204, 132.59 W, 98 %, 9499 MiB
2025/11/27 17:05:01.375, 134.01 W, 100 %, 9499 MiB
2025/11/27 17:05:01.545, 134.01 W, 100 %, 9499 MiB
2025/11/27 17:05:01.714, 134.01 W, 100 %, 9499 MiB
2025/11/27 17:05:01.886, 135.22 W, 100 %, 9499 MiB
2025/11/27 17:05:02.057, 135.22 W, 100 %, 9499 MiB
2025/11/27 17:05:02.230, 135.22 W, 100 %, 9499 MiB
2025/11/27 17:05:02.398, 133.51 W, 99 %, 9499 MiB
2025/11/27 17:05:02.585, 133.51 W, 99 %, 9499 MiB
2025/11/27 17:05:02.754, 133.51 W, 99 %, 9499 MiB
2025/11/27 17:05:02.923, 134.01 W, 99 %, 9499 MiB
2025/11/27 17:05:03.079, 134.01 W, 99 %, 9499 MiB
2025/11/27 17:05:03.233, 134.01 W, 99 %, 9499 MiB
