backend,backend_kind,model,model_kind,params_millions,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_total_median,prompt_tokens_median,gen_tokens_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,micro,kv_decode,3,2524.8057666666077,2495.3656999998657,2596.9464499998594,2605.975849999859,25.647543364086253,64.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,micro,kv_decode,3,189.2795333333197,190.74959999989005,192.04208999997263,192.15697799997997,335.518396893293,64.0,1.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,short,kv_decode,3,1229.0164333332996,1226.9154000000526,1238.6321399999588,1239.6736279999504,52.1633357931584,64.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,short,kv_decode,3,977.3465333332751,972.6216999999906,986.8424199998573,988.1064839998454,65.80153414220618,64.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,short,kv_decode,3,1266.9409999999364,1266.660899999806,1312.0133400000213,1316.0446680000405,50.526545818229486,64.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,short,kv_decode,3,1595.9001000000324,1573.295700000017,1692.6251699999739,1703.23223399997,40.67893912123405,64.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,short,kv_decode,3,2200.1091999999667,2249.4956000000457,2486.443280000003,2507.5052959999994,28.450822486604864,64.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,short,kv_decode,3,2463.2186333332506,2463.0408999998963,2535.6469599999177,2542.1008319999196,25.98414017404368,64.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,short,kv_decode,3,192.90623333336043,189.5449999999528,202.55162000012209,203.70776400013713,337.6506898098918,64.0,9.0,64.0,,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,medium,prefill,3,30.239266666588566,30.15719999984867,30.726179999987835,30.776756000000205,563.712811537056,17.0,17.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,medium,prefill,3,20.240433333431913,20.45070000008309,20.592450000185636,20.60505000019475,831.2673893769373,17.0,17.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,medium,prefill,3,34.30059999989984,35.207899999932124,37.8475999999182,38.082239999916965,482.8461794095295,17.0,17.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,medium,prefill,3,38.036100000075145,39.54700000008416,40.157020000037846,40.21124400003373,429.8682580211856,17.0,17.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,medium,prefill,3,41.78536666669667,41.78790000014487,46.48355999993328,46.90095199991447,406.8163272129268,17.0,17.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,medium,prefill,3,48.80593333336947,49.57160000003569,49.84349000003476,49.86765800003468,342.93829531400564,17.0,17.0,0.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,medium,prefill,3,4.559300000058404,4.681500000060623,4.790040000011686,4.799688000007336,3631.3147494990617,17.0,17.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,micro,prefill,3,16.649500000009237,16.95150000000467,17.019630000027064,17.025686000029054,58.99182963157977,1.0,1.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,micro,prefill,3,14.172800000020894,13.79270000006727,15.238280000039595,15.366776000037135,72.50212068667648,1.0,1.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,micro,prefill,3,20.3879999999117,20.62120000005052,20.700669999860114,20.70773399984319,48.49378309688816,1.0,1.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,micro,prefill,3,34.319833333332404,34.394600000041464,36.31457000001319,36.48523400001068,29.074331435713585,1.0,1.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,micro,prefill,3,37.21469999997377,38.208499999882406,38.87243000003764,38.93144600005144,26.17218681715005,1.0,1.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,micro,prefill,3,35.71496666669797,35.52839999997559,36.63486000002649,36.73321200003102,28.14649688701678,1.0,1.0,0.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,micro,prefill,3,3.002100000003338,2.9961000000184868,3.106170000160091,3.115954000172678,333.7672307312272,1.0,1.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-5m,hf,5.0,short,prefill,3,37.745133333373815,38.90980000005584,39.50641000001269,39.55944200000886,231.3041958577809,9.0,9.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-25m,hf,25.0,short,prefill,3,22.773866666663405,22.84860000008848,24.18023999991874,24.298607999903652,393.8972190841079,9.0,9.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-45m,hf,45.0,short,prefill,3,24.0515333333254,24.521499999991647,26.061219999951394,26.198083999947816,367.0248557389664,9.0,9.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-50m,hf,50.0,short,prefill,3,32.08039999996496,33.66170000003876,34.153370000035466,34.19707400003517,267.3661758018649,9.0,9.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-75m,hf,75.0,short,prefill,3,37.766866666743226,38.63660000001801,38.989670000160004,39.021054000172626,232.93975142729448,9.0,9.0,0.0,,,
hf_cpu_fp32,hf,models/gpt2-100m,hf,100.0,short,prefill,3,46.42039999998815,46.87829999988935,46.898370000053546,46.90015400006814,191.98648415196888,9.0,9.0,0.0,,,
hf_cpu_fp32,hf,models/tiny-gpt2,hf,124.0,short,prefill,3,4.813766666605564,4.547499999944193,5.3179000000454835,5.386380000054487,1979.1094007939407,9.0,9.0,0.0,,,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,medium,e2e_kv,3,519.7827333333862,453.1182000000626,633.1811099998731,649.1867019998563,178.76130334201716,81.0,17.0,64.0,452.9868941307068,539.29345703125,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,medium,e2e_kv,3,159.59306666673,149.5431999999255,195.1720300000261,199.22792600003504,541.6495032876143,81.0,17.0,64.0,149.36883163452148,539.3515625,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,medium,e2e_kv,3,638.5402666667991,645.9143000001859,646.8074600000591,646.8868520000478,125.40363326834024,81.0,17.0,64.0,645.684534072876,633.025390625,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,medium,e2e_kv,3,434.685800000049,456.66240000014113,552.2714700000279,560.7700540000178,177.37391998985458,81.0,17.0,64.0,456.57599210739136,489.4736328125,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,medium,e2e_kv,3,264.97890000011165,220.76440000023467,361.33279000014227,373.82775800013405,366.9069831907405,81.0,17.0,64.0,220.68396830558777,633.26806640625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,medium,e2e_kv,3,650.0650333333245,650.0662999999349,663.3288799999491,664.5077759999504,124.60267514253256,81.0,17.0,64.0,649.9336824417114,633.97998046875,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,medium,e2e_kv,3,176.04736666673185,136.5083999999115,266.8642200001159,278.45140400013406,593.3700783252351,81.0,17.0,64.0,136.40268754959106,13.068359375,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,micro,e2e_kv,3,572.4453000000267,574.0006999999423,602.5025300001062,605.0360260001207,113.24028002057582,65.0,1.0,64.0,573.7348957061768,630.7822265625,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,micro,e2e_kv,3,189.92353333336118,200.948500000095,243.89821000004306,247.71596200003845,323.465962671875,65.0,1.0,64.0,200.8524854183197,537.74755859375,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,micro,e2e_kv,3,478.46403333346643,477.4003000002267,485.412280000196,486.1244560001933,136.15408285241784,65.0,1.0,64.0,477.2758712768554,631.30419921875,
hf_gpu_fp16,hf,models/gpt2-50m,hf,50.0,micro,e2e_kv,3,703.5677333331781,714.8087999999007,740.2427999997371,742.5035999997226,90.93340764692464,65.0,1.0,64.0,714.668023109436,631.55810546875,
hf_gpu_fp16,hf,models/gpt2-75m,hf,75.0,micro,e2e_kv,3,224.80429999995977,227.47500000014043,250.6066199999168,252.66276399989692,285.7456863389817,65.0,1.0,64.0,227.39558625221247,379.8994140625,
hf_gpu_fp16,hf,models/gpt2-100m,hf,100.0,micro,e2e_kv,3,538.2354666665682,561.6308999999546,608.8583999999173,613.056399999914,115.73437287728515,65.0,1.0,64.0,561.4888792037964,208.4775390625,
hf_gpu_fp16,hf,models/tiny-gpt2,hf,124.0,micro,e2e_kv,3,137.68420000004275,119.4866999999249,170.40806999998495,174.93441399999028,543.9935992879614,65.0,1.0,64.0,119.39020872116087,630.53759765625,
hf_gpu_fp16,hf,models/gpt2-5m,hf,5.0,short,e2e_kv,3,840.6077000000399,964.3681000002288,1090.126810000038,1101.305362000021,75.69723635609958,73.0,9.0,64.0,964.2168235778807,229.62109375,
hf_gpu_fp16,hf,models/gpt2-25m,hf,25.0,short,e2e_kv,3,288.0075333334844,289.1748000001826,292.5431400000889,292.84254800008057,252.4424673241026,73.0,9.0,64.0,289.05068254470825,538.54931640625,
hf_gpu_fp16,hf,models/gpt2-45m,hf,45.0,short,e2e_kv,3,212.49229999989439,208.46419999975296,220.84855999987664,221.94939199988764,350.1800309121974,73.0,9.0,64.0,208.39401245117188,632.16455078125,
