scenario,prompt_set,backend,model,quantization,latency_ms,ttft_ms,tokens,tokens_per_s,status,error,accuracy,degraded_count,degraded_reasons,path
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.53011100004005,94.53011100004005,64,677.0329509078106,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,93.95260600012989,93.95260600012989,64,681.1945163065676,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.12969599998178,94.12969599998178,64,679.9129575433069,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.16790099996797,95.16790099996797,64,672.495655862175,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,95.26272700031768,95.26272700031768,64,671.8262432250818,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,93.57092199979888,93.57092199979888,64,683.9731685035396,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,99.22811600017667,99.22811600017667,64,644.978485733681,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,94.1131489998952,94.1131489998952,64,680.0325000289945,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,91.98322599968378,91.98322599968378,64,695.7790325838324,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
single_micro,micro,transformers-gpu,models/tiny-gpt2,fp32,89.09968700027093,89.09968700027093,64,718.2965749341565,ok,,,0,,scripts/tr120/results/tr120_root_cause_triton/20251221_181901/kv_decode/runs/single_micro/transformers-gpu/fp32/run_1766341172679.json
