backend,backend_kind,batch_size,model,model_kind,params_millions_effective,scenario,mode,n,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,tokens_per_s_median,tokens_per_s_compute_median,tokens_total_median,tokens_total_compute_median,prompt_tokens_median,prompt_tokens_raw_median,prompt_tokens_compute_median,gen_tokens_median,gen_tokens_raw_median,gen_tokens_target_median,cuda_event_median_ms,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,short,prefill,3,15.479233333583883,15.550899999652756,16.03888000081497,16.082256000918278,578.7446385868963,578.7446385868963,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,short,prefill,3,22.42146666624952,21.885599999222904,23.720249999860243,23.883329999916896,411.2293014730949,411.22930147309484,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,,,,96.088,96.08832
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,medium,e2e_kv,3,783.5421333323515,783.7692999983119,794.8210299986386,795.8034059986676,185.0034187359881,185.00341873598813,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,783.6426610946655,580.107421875,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,medium,e2e_kv,3,244.07899999823712,243.5977999975876,246.91474999908678,247.20958999922004,595.2434710060435,595.2434710060435,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,243.46054124832156,631.50439453125,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,medium,e2e_kv,3,440.250566666388,438.0280000004859,451.0848399995666,452.2454479994849,331.0290666346424,331.0290666346424,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,437.9616222381592,632.56591796875,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,medium,e2e_kv,3,579.8045999993823,580.6658000001335,582.7496599993538,582.9348919992844,249.71334630000024,249.71334630000024,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,580.5641956329346,317.77099609375,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,medium,e2e_kv,3,362.47106666633044,360.33879999922647,370.11217000126635,370.9809140014477,402.3990755375532,402.3990755375532,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,360.26931619644165,632.99609375,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,medium,e2e_kv,3,561.4820333333531,563.2471999979316,565.7267000007778,565.9471000010308,257.43581148833493,257.43581148833493,145.0,145.0,,17.0,17.0,128.0,128.0,128.0,563.1662578582764,209.9267578125,,96.088,96.08832
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,short,e2e_kv,3,842.3823999983142,842.02269999696,848.0301999990843,848.5641999992731,162.70345205716498,162.70345205716498,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,841.8810296058655,578.93505859375,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,short,e2e_kv,3,238.22350000045844,237.9225000004226,239.6548199994868,239.8088039994036,575.8177557807969,575.8177557807969,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,237.8279047012329,630.7021484375,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,short,e2e_kv,3,441.3005666671476,440.9421000018483,452.5634399995397,453.5964479993345,310.69838874406804,310.69838874406804,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,440.8782761096954,409.4248046875,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,short,e2e_kv,3,597.3940666669174,593.2904000019334,607.8476299988324,609.1416059985568,230.9155853517157,230.9155853517157,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,593.223482131958,632.240234375,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,short,e2e_kv,3,437.0263000000705,437.39190000087547,440.290979999736,440.5486759996347,313.22024939127994,313.22024939127994,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,437.29179978370667,558.80712890625,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,short,e2e_kv,3,555.8377333333434,549.2147000004479,570.1756999997087,572.038899999643,249.4470741585909,249.44707415859094,137.0,137.0,,9.0,9.0,128.0,128.0,128.0,549.1401748657227,411.03564453125,,96.088,96.08832
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,medium,kv_decode,3,776.908266666093,776.899799999228,788.0590799999482,789.0510160000122,164.75741144498582,164.75741144498582,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,776.8576049804688,580.107421875,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,medium,kv_decode,3,241.4908999993107,240.89399999866143,244.25352000016574,244.55214400029945,531.354039539014,531.354039539014,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,240.82943725585935,631.50439453125,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,medium,kv_decode,3,435.98606666697987,433.8566000005813,446.7759200002547,447.9243040002257,295.0283572955408,295.02835729554073,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,433.8309020996094,632.56591796875,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,medium,kv_decode,3,574.1505999994843,574.188900000081,577.5913499994203,577.8937899993616,222.92315299021269,222.92315299021269,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,574.1362915039062,317.77099609375,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,medium,kv_decode,3,358.771766666905,356.362700000318,366.6032600007384,367.51353200077574,359.1846172449748,359.1846172449748,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,356.3378601074219,632.99609375,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,medium,kv_decode,3,555.537566666923,556.7661999994016,559.4449600002918,559.6830720003709,229.8990132664978,229.8990132664978,128.0,128.0,,17.0,17.0,128.0,128.0,128.0,556.7354736328125,209.9267578125,,96.088,96.08832
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,short,kv_decode,3,835.1960333323708,834.6912999986671,840.6899799991152,841.223195999155,153.35010680020793,153.35010680020793,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,834.6500854492188,578.93505859375,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,short,kv_decode,3,235.80666666687952,235.72819999935743,236.97659000026763,237.08755800034854,542.9982496805596,542.9982496805598,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,235.68707275390625,630.7021484375,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,short,kv_decode,3,437.1889333336488,436.8993000007322,448.42379999936384,449.4481999992422,292.97368981773485,292.97368981773485,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,436.8793640136719,409.4248046875,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,short,kv_decode,3,592.0791000001676,588.1485000008979,602.4782099990261,603.7519619988598,217.632111617737,217.632111617737,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,588.1272583007812,632.240234375,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,short,kv_decode,3,432.8776333331916,433.466700000281,436.029629999939,436.2574459999086,295.2937330593493,295.2937330593493,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,433.4118957519531,558.80712890625,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,short,kv_decode,3,550.6252666667327,543.864900000699,565.2641999993648,567.1663599992462,235.35256641830625,235.35256641830625,128.0,128.0,,9.0,9.0,128.0,128.0,128.0,543.8369750976562,411.03564453125,,96.088,96.08832
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,medium,prefill,3,6.633866666258352,6.749999998646672,6.857549999040202,6.867109999075183,2518.518519023464,2518.518519023464,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,6.6862077713012695,580.107421875,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,medium,prefill,3,2.5880999989264333,2.6564999989204807,2.6990699989255518,2.7028539989260025,6399.397706346047,6399.397706346047,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,2.5911359786987305,631.50439453125,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,medium,prefill,3,4.2644999994081445,4.297899999073707,4.321569999228814,4.323673999242601,3955.4200897330975,3955.4200897330975,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,4.241631984710693,632.56591796875,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,medium,prefill,3,5.653999999897981,5.473299999721348,6.376540000019304,6.456828000045789,3105.9872473399028,3105.9872473399028,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,5.43017578125,317.77099609375,,51.476,51.475968
hf_gpu_fp16,hf,1,models/gpt2-75m,hf,74.824704,medium,prefill,3,3.6992999994254205,3.6647999986598734,3.944969998883607,3.9698739989034943,4638.725170873303,4638.725170873303,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,3.611295938491821,632.99609375,,74.825,74.824704
hf_gpu_fp16,hf,1,models/gpt2-100m,hf,96.08832,medium,prefill,3,5.944466666430041,6.259600000703358,6.458859998747357,6.47657199857349,2715.828487138124,2715.828487138124,17.0,17.0,,17.0,17.0,0.0,128.0,128.0,6.199647903442383,209.9267578125,,96.088,96.08832
hf_gpu_fp16,hf,1,models/gpt2-5m,hf,5.03672,short,prefill,3,7.186366665943448,7.331399998292909,7.340219999969122,7.341004000118119,1227.596366600597,1227.5963666005973,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,7.230944156646728,578.93505859375,,5.037,5.03672
hf_gpu_fp16,hf,1,models/gpt2-25m,hf,25.016064,short,prefill,3,2.4168333335789307,2.324200000657584,2.6912199991784287,2.7238439990469483,3872.300145191308,3872.300145191308,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,2.267807960510254,630.7021484375,,25.016,25.016064
hf_gpu_fp16,hf,1,models/gpt2-45m,hf,45.1712,short,prefill,3,4.111633333498806,4.141699999308912,4.1495299999951385,4.150226000056136,2173.020740638324,2173.0207406383242,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,4.0905280113220215,409.4248046875,,45.171,45.1712
hf_gpu_fp16,hf,1,models/gpt2-50m,hf,51.475968,short,prefill,3,5.314966666749872,5.394699999669683,5.406939999556926,5.408027999546903,1668.3040763251097,1668.3040763251097,9.0,9.0,,9.0,9.0,0.0,128.0,128.0,5.351103782653809,632.240234375,,51.476,51.475968
